Beer,Calories,ABV,Efficiency
Abita Amber,128,0.0450,0.6820
Abita Golden,125,0.0420,0.6520
Abita Jockamo IPA,190,0.0650,0.6640
Abita Light,118,0.0400,0.6580
Abita Purple Haze,128,0.0420,0.6370
Abita Restoration,167,0.0500,0.5810
Abita Turbodog,168,0.0560,0.6470
Amstel Light,99,0.0350,0.6860
Anchor Porter,209,0.0560,0.5200
Anchor Steam,153,0.0490,0.6210
Aspen Edge,94,0.0410,0.8460
Augustiner Amber Lager,135,0.0430,0.6180
Beach Bum Blonde Ale,163,0.0540,0.6430
Beck's,143,0.0500,0.6780
Beck's Light,64,0.0230,0.6970
Blatz Beer,153,0.0480,0.6090
Blue Moon Belgian White,164,0.0536,0.6340
Blue Moon Full Moon Winter Ale,180,0.0552,0.5950
Blue Moon Harvest Moon Pumpkin Ale,180,0.0576,0.6210
Blue Moon Honey Moon Summer Ale,157,0.0512,0.6330
Blue Moon Rising Moon Spring Ale,161,0.0540,0.6510
Blue Point Toasted Lager,175,0.0530,0.5880
Boddington's Ale,148,0.0470,0.6160
Brooklyn Black Chocolate Stout,320,0.1000,0.6060
Brooklyn Brown Ale,190,0.0560,0.5720
Brooklyn East India Pale Ale,200,0.0690,0.6690
Brooklyn Lager,170,0.0520,0.5940
Brooklyn Monster,305,0.1010,0.6430
Brooklyn Pennant Pale Ale,160,0.0500,0.6060
Brooklyn Pilsner,155,0.0510,0.6380
Brooklyn Summer Ale,150,0.0500,0.6470
Brooklyn Winter Ale,205,0.0610,0.5770
Bud American Ale,182,0.0530,0.5650
Bud Dry,130,0.0500,0.7460
Bud Ice,123,0.0550,0.8680
Bud Ice Light,115,0.0500,0.8440
Bud Light,110,0.0420,0.7410
Bud Light Chelada,151,0.0420,0.5400
Bud Light Lime,116,0.0420,0.7030
Bud Light Platinum,137,0.0600,0.8500
Bud Light Wheat,118,0.0410,0.6740
Budweiser,145,0.0500,0.6690
Budweiser Chelada,186,0.0500,0.5220
Budweiser Select,99,0.0430,0.8430
Budweiser Select 55,55,0.0250,0.8820
Busch,132,0.0460,0.6760
Busch Ice,171,0.0590,0.6690
Busch Light,95,0.0410,0.8370
Carling Black Label,138,0.0430,0.6050
Coors Banquet,149,0.0500,0.6510
Coors Extra Gold,152,0.0497,0.6340
Coors Light,102,0.0420,0.7990
Corona Extra,148,0.0460,0.6030
Corona Light,99,0.0410,0.8040
Cristal (Peru),134,0.0450,0.6520
Cusque,140,0.0480,0.6650
Dogfish Head 120 Minute IPA,450,0.1800,0.7760
Dogfish Head 60 Minute IPA,209,0.0600,0.5570
Dogfish Head 90 Minute IPA,294,0.0900,0.5940
Dogfish Head Midas Touch,307,0.0900,0.5690
Dogfish Head Red & White,310,0.1000,0.6260
Dogfish Head Shelter Pale Ale,168,0.0500,0.5780
Efes Pils,170,0.0500,0.5710
Firestone DBA,166,0.0500,0.5840
Flying Dog Doggie Style Pale Ale,150,0.0550,0.7110
Flying Dog Double Dog,313,0.1150,0.7130
Flying Dog Gonzo,271,0.0920,0.6590
Flying Dog Horn Dog,314,0.1020,0.6300
Flying Dog In Heat Wheat,138,0.0470,0.6610
Flying Dog Kerberos Tripel,238,0.0850,0.6930
Flying Dog Old Scratch Amber Lager,154,0.0550,0.6930
Flying Dog Raging Bitch,221,0.0830,0.7290
Flying Dog Road Dog,163,0.0600,0.7140
Flying Dog Snake Dog IPA,188,0.0710,0.7330
Flying Dog Tire Bite Golden Ale,129,0.0510,0.7670
Foster's,145,0.0500,0.6690
Foster's Premium Ale,160,0.0550,0.6670
Genesee Beer,148,0.0450,0.5900
Genesee Cream Ale,162,0.0510,0.6110
Genesee Ice,156,0.0590,0.7340
Genesee Red,148,0.0490,0.6420
George Killian's Irish Red,162,0.0498,0.5960
Grolsch Amber Ale,160,0.0540,0.6550
Grolsch Blonde Lager,120,0.0280,0.4530
Grolsch Light Lager,97,0.0360,0.7200
Grolsch Premium Lager,147,0.0500,0.6600
Guinness Draught,125,0.0427,0.6630
Guinness Extra Stout,153,0.0500,0.6340
Hamm's Beer,144,0.0470,0.6330
Hamm's Special Light,110,0.0390,0.6880
Harbin,144,0.0460,0.6200
Harp Lager,155,0.0520,0.6510
Heineken,150,0.0500,0.6470
Heineken Light,99,0.0400,0.7840
Hiland Light,97,0.0400,0.8000
Hoegaarden Belgian White,153,0.0490,0.6210
Icehouse 5.0,132,0.0500,0.7350
Icehouse 5.5,149,0.0550,0.7160
Icehouse Light,123,0.0500,0.7890
Irish Red Ale,196,0.0570,0.5640
Iron City,140,0.0450,0.6240
Iron City Light,95,0.0415,0.8480
Keystone Ice,142,0.0590,0.8060
Keystone Light,104,0.0413,0.7710
Keystone Premium,111,0.0443,0.7740
