Date,SP500,CTIC,HCP,MO,PIR,RT,TE
10/7/2013,2991.39,1.95,37.80,33.09,19.29,7.49,76.07
10/8/2013,2955.41,1.77,38.09,33.02,19.03,7.24,75.93
10/9/2013,2957.40,1.86,38.14,32.81,18.78,7.55,75.41
10/10/2013,3022.43,1.79,38.76,33.79,19.30,6.26,76.92
10/11/2013,3041.43,1.91,39.40,33.84,19.80,6.12,77.40
10/14/2013,3053.84,1.85,39.31,34.03,19.69,6.11,78.25
10/15/2013,3032.27,1.72,39.06,33.64,19.44,6.01,77.92
10/16/2013,3074.54,1.86,39.90,33.99,19.90,6.05,77.97
10/17/2013,3095.42,1.79,40.63,33.92,20.05,6.10,79.82
10/18/2013,3115.77,1.83,40.37,34.15,20.79,6.05,80.34
10/21/2013,3116.09,1.81,39.90,34.30,20.45,6.14,81.57
10/22/2013,3133.98,1.88,40.33,34.67,20.73,6.21,71.75
10/23/2013,3119.20,1.83,40.38,34.64,20.80,6.10,72.23
10/24/2013,3129.41,1.83,40.20,34.24,21.12,5.93,73.46
10/25/2013,3143.16,1.91,40.83,34.52,20.98,5.97,74.51
10/28/2013,3147.36,1.87,40.64,35.05,20.88,5.60,74.17
10/29/2013,3165.11,1.90,39.98,35.64,20.94,5.74,74.84
10/30/2013,3149.93,1.79,40.13,35.29,20.92,5.76,74.46
10/31/2013,3138.09,1.76,39.85,35.45,20.67,5.93,74.17
11/1/2013,3147.21,1.63,40.06,35.55,20.38,5.89,74.08
11/4/2013,3158.47,1.76,40.22,35.64,20.88,5.89,74.60
11/5/2013,3149.96,1.73,39.17,35.75,21.01,5.86,74.46
11/6/2013,3165.13,1.71,39.33,36.01,20.70,5.99,74.22
11/7/2013,3124.12,1.62,38.85,35.71,20.43,5.98,74.22
11/8/2013,3166.11,1.74,38.06,35.76,21.03,6.04,74.03
11/11/2013,3168.41,1.74,37.91,35.66,21.39,5.94,74.36
11/12/2013,3161.10,1.71,37.73,35.53,21.57,6.17,74.03
11/13/2013,3187.64,1.78,37.88,35.79,21.72,6.50,73.22
11/14/2013,3203.65,1.75,38.01,35.90,21.91,6.50,73.75
11/15/2013,3217.20,1.87,38.23,36.19,21.93,6.52,75.41
11/18/2013,3205.46,1.94,38.13,36.21,21.32,6.57,76.69
11/19/2013,3199.52,1.89,37.40,36.02,21.65,6.60,75.88
11/20/2013,3188.04,1.96,37.29,35.81,21.36,6.58,76.02
11/21/2013,3214.16,2.02,37.38,35.37,21.77,6.90,75.93
11/22/2013,3230.54,1.98,36.75,35.49,21.94,6.98,75.64
11/25/2013,3226.53,1.95,36.20,35.35,22.03,7.07,75.88
11/26/2013,3227.36,1.92,35.59,35.23,22.29,7.00,75.83
11/27/2013,3236.14,1.93,35.89,35.38,22.16,6.98,75.93
11/29/2013,3233.72,1.94,35.31,35.21,22.06,7.05,76.45
12/2/2013,3225.06,1.96,34.90,35.19,21.57,6.79,75.83
12/3/2013,3214.95,1.91,34.63,35.40,21.46,6.83,75.98
12/4/2013,3211.59,1.95,35.04,35.45,20.97,6.80,74.93
12/5/2013,3197.76,1.91,35.04,35.20,20.82,6.75,74.93
12/6/2013,3233.99,1.95,35.12,35.67,21.04,6.82,74.93
12/9/2013,3239.99,1.82,35.41,35.89,21.06,7.18,72.28
12/10/2013,3229.72,1.77,35.40,35.54,21.27,7.11,70.28
12/11/2013,3193.52,1.74,34.42,35.87,20.83,6.84,69.19
12/12/2013,3182.33,1.79,34.25,35.42,20.53,6.84,68.53
12/13/2013,3182.07,1.77,34.35,35.33,20.66,6.85,68.77
12/16/2013,3202.22,1.73,34.63,35.46,20.32,6.89,67.58
12/17/2013,3192.33,1.71,34.88,35.66,20.54,6.89,66.87
12/18/2013,3245.59,1.74,35.38,36.34,20.52,6.99,66.73
12/19/2013,3244.15,1.74,34.38,36.39,21.57,6.88,66.92
12/20/2013,3259.79,1.77,34.65,36.73,22.29,7.02,69.38
12/23/2013,3277.62,1.79,34.78,36.78,22.90,6.94,69.24
12/24/2013,3287.55,1.87,34.92,36.72,23.23,7.18,69.29
12/26/2013,3303.15,1.90,35.03,36.88,22.66,7.07,69.29
12/27/2013,3302.66,1.87,35.05,36.94,22.88,7.06,69.29
12/30/2013,3302.30,1.92,35.15,36.99,22.88,7.08,69.29
12/31/2013,3315.59,1.91,34.88,37.02,22.85,6.93,69.29
1/2/2014,3286.69,1.99,34.77,36.55,22.81,6.98,69.10
1/3/2014,3285.68,2.20,34.74,36.37,22.83,7.00,69.10
1/6/2014,3277.48,2.48,35.35,35.95,22.68,6.37,69.10
1/7/2014,3297.45,2.37,35.95,35.95,22.90,6.10,68.15
1/8/2014,3297.74,2.51,35.88,35.80,23.08,5.97,69.19
1/9/2014,3298.87,2.54,35.93,35.92,20.23,6.14,69.19
1/10/2014,3306.49,2.66,37.33,35.93,21.35,5.92,68.96
1/13/2014,3265.27,2.92,36.60,35.76,20.00,5.80,69.43
1/14/2014,3300.61,3.05,36.48,35.66,20.26,5.99,70.09
1/15/2014,3317.75,3.05,36.53,35.58,20.51,6.10,71.38
1/16/2014,3313.36,3.20,36.88,35.97,20.28,6.05,71.66
1/17/2014,3300.51,3.64,36.53,35.71,20.09,5.91,70.28
1/21/2014,3309.74,4.21,36.87,36.03,20.30,5.42,69.81
1/22/2014,3312.04,4.01,36.91,36.16,19.91,5.58,70.57
1/23/2014,3282.64,4.13,37.00,36.03,19.99,5.61,71.80
1/24/2014,3214.14,4.00,37.07,35.97,19.27,5.58,70.95
1/27/2014,3198.57,3.34,36.89,35.51,19.36,5.50,70.71
1/28/2014,3218.21,3.44,37.57,35.53,19.28,5.81,71.00
1/29/2014,3185.70,3.32,37.29,35.13,18.93,5.65,69.76
1/30/2014,3221.78,3.32,37.35,34.09,19.04,5.67,69.86
1/31/2014,3200.95,3.19,37.60,33.96,18.97,5.60,69.48
2/3/2014,3127.87,3.11,37.29,32.89,18.33,5.42,68.77
2/4/2014,3151.94,3.06,37.47,33.20,18.29,5.40,67.39
2/5/2014,3146.49,2.84,37.07,32.78,18.21,5.17,68.06
2/6/2014,3187.25,2.83,37.15,33.47,18.54,5.51,68.48
2/7/2014,3229.65,3.33,37.42,34.04,18.75,5.68,67.77
2/10/2014,3234.79,3.49,37.81,33.93,18.63,5.75,66.92
2/11/2014,3270.74,3.50,36.82,33.88,18.60,5.80,66.54
2/12/2014,3271.47,3.35,36.63,33.68,18.56,5.65,67.72
2/13/2014,3290.82,3.40,36.90,34.02,18.55,5.67,70.38
2/14/2014,3306.92,3.36,36.71,34.30,18.35,5.69,70.09
2/18/2014,3311.27,3.34,36.89,34.19,18.46,5.68,69.72
2/19/2014,3289.83,3.21,37.14,33.90,18.64,5.53,69.76
2/20/2014,3310.27,3.42,36.86,34.26,19.06,5.59,69.95
2/21/2014,3304.36,3.42,36.15,34.11,19.09,5.66,70.90
2/24/2014,3324.84,3.56,36.84,34.12,19.18,5.87,71.47
2/25/2014,3320.43,3.61,36.47,34.30,19.34,5.96,71.61
2/26/2014,3321.15,3.51,37.02,34.17,19.85,6.01,72.75
2/27/2014,3338.05,3.97,37.36,34.59,19.92,6.10,73.94
2/28/2014,3347.38,3.85,37.76,34.96,18.78,6.13,73.60
3/3/2014,3322.85,3.63,37.69,35.15,19.04,5.92,76.12
3/4/2014,3373.64,3.81,38.40,35.74,19.33,6.04,76.83
3/5/2014,3374.10,3.91,38.23,35.63,19.16,5.96,75.36
3/6/2014,3380.49,3.79,37.58,35.57,19.26,6.04,74.41
3/7/2014,3382.57,3.78,36.70,35.49,19.11,6.04,75.45
3/10/2014,3381.22,3.77,36.23,35.54,19.13,5.84,72.89
3/11/2014,3364.17,3.79,36.48,35.45,18.95,5.76,74.03
3/12/2014,3366.07,4.10,36.63,35.31,19.08,5.69,73.98
3/13/2014,3327.11,3.94,36.18,35.14,18.95,5.55,74.36
3/14/2014,3317.81,3.89,36.20,35.50,19.21,5.52,73.70
3/17/2014,3349.71,3.96,36.10,35.54,19.14,5.52,73.51
3/18/2014,3373.98,3.98,36.10,35.75,19.56,5.44,73.08
3/19/2014,3353.29,3.95,35.37,35.19,19.31,5.31,73.27
3/20/2014,3373.60,3.87,35.30,35.51,19.19,5.27,72.85
3/21/2014,3363.72,3.81,35.91,35.61,19.56,5.47,73.18
3/24/2014,3347.36,3.57,35.75,35.85,19.26,5.44,74.13
3/25/2014,3362.44,3.58,36.23,36.06,19.11,5.44,74.36
3/26/2014,3339.00,3.38,36.16,36.39,18.36,5.33,75.03
3/27/2014,3333.23,3.44,36.79,36.37,18.46,5.25,75.88
3/28/2014,3348.83,3.38,37.18,36.27,18.72,5.34,75.41
