Ship Name,Cruise Line,Score
Adventure Of The Seas,Royal Caribbean International,99
AIDAaura,Aida Cruises,99
Albatross,"Unicom Mgt Services, Ltd",94
Amadea,V. Ships Leisure USA,84
Amsterdam,Holland America Line,98
Arabella,Classic Cruises Of Newport,93
Arcadia,P & O Cruises,95
Artemis,P & O Cruises,95
Astor,Transocean Tours,83
Asuka II,"NYK Cruises Co., LTD",97
Aurora,P & O Cruises,100
Azamara Journey,Azamara Cruises,92
Azamara Quest,Azamara Cruises,94
Balmoral,Fred Olsen Cruise Line,91
Black Watch,Fred Olsen Cruise Line,86
Braemar,Fred Olsen Cruise Line,95
Bremen,Hapag Lloyd Kreuzfahrten Gmbh,98
Brilliance Of The Seas,Royal Caribbean International,92
C. Columbus,Hapag Lloyd Kreuzfahrten Gmbh,94
Caribbean Express,Ferries Del Caribe,89
Caribbean Princess,Princess Cruises,100
Carnival Conquest,"Carnival Cruise Lines, Inc.",96
Carnival Destiny,"Carnival Cruise Lines, Inc.",94
Carnival Freedom,"Carnival Cruise Lines, Inc.",90
Carnival Glory,"Carnival Cruise Lines, Inc.",100
Carnival Legend,"Carnival Cruise Lines, Inc.",97
Carnival Liberty,"Carnival Cruise Lines, Inc.",99
Carnival Miracle,"Carnival Cruise Lines, Inc.",100
Carnival Pride,"Carnival Cruise Lines, Inc.",98
Carnival Spirit,"Carnival Cruise Lines, Inc.",98
Carnival Triumph,"Carnival Cruise Lines, Inc.",95
Carnival Valor,"Carnival Cruise Lines, Inc.",99
Carnival Victory,"Carnival Cruise Lines, Inc.",89
Celebration,"Carnival Cruise Lines, Inc.",98
Celebrity Century,Celebrity Cruises,98
Celebrity Constellation,Celebrity Cruises,97
Celebrity Galaxy,Celebrity Cruises,97
Celebrity Infinity,Celebrity Cruises,97
Celebrity Mercury,Celebrity Cruises,97
Celebrity Millennium,Celebrity Cruises,91
Celebrity Summit,Celebrity Cruises,98
Clipper Adventurer,Clipper Cruise Line/Intrav Inc.,96
Clipper Odyssey,Clipper Cruise Line/Intrav Inc.,95
Club Med 2,Services Et Transports Cruise,94
Coral Princess,Princess Cruises,100
Costa Allegra,Costa Cruises,98
Costa Atlantica,Costa Cruises,100
Costa Fortuna,Costa Cruises,95
Costa Magica,Costa Cruises,98
Costa Mediterranea,Costa Cruises,99
Crown Princess,Princess Cruises,95
Crystal Serenity,"Crystal Cruises , Inc.",96
Crystal Symphony,"Crystal Cruises , Inc.",98
Dawn Princess,Princess Cruises,92
Deutschland,Peter Deilmann Cruises,93
Diamond Princess,Princess Cruises,100
Discovery Sun,Discovery Cruise Line,96
Disney Magic,Disney Cruise Lines,98
Disney Wonder,Disney Cruise Lines,99
Ecstasy,"Carnival Cruise Lines, Inc.",99
Elation,"Carnival Cruise Lines, Inc.",99
Emerald Princess,Princess Cruises,100
Empress Of The North,Majestic America Line,90
Empress Of The Seas,Royal Caribbean International,94
Enchantment Of The Seas,Royal Caribbean International,96
Eurodam,Holland America Line,95
Europa,Hapag Lloyd Kreuzfahrten Gmbh,97
Explorer Of The Seas,Royal Caribbean International,98
Fantasy,"Carnival Cruise Lines, Inc.",94
Fascination,"Carnival Cruise Lines, Inc.",97
Freedom Of The Seas,Royal Caribbean International,100
Fuji Maru,"Mitsui O.s.k. Passenger Line, Ltd",91
Golden Princess,Princess Cruises,98
Grand Princess,Princess Cruises,91
Grande Caribe,"American Canadian Caribbean Line, Inc.",93
Grande Mariner,"American Canadian Caribbean Line, Inc.",95
Grandeur Of The Seas,Royal Caribbean International,97
Hanseatic,Hapag Lloyd Kreuzfahrten Gmbh,95
Holiday,"Carnival Cruise Lines, Inc.",90
Imagination,"Carnival Cruise Lines, Inc.",98
Inspiration,"Carnival Cruise Lines, Inc.",93
Island Adventure,"New Sea Escape Cruises, Ltd.",93
Island Princess,Princess Cruises,98
Jewel Of The Seas,Royal Caribbean International,98
Legacy,Windjammer Barefoot Cruises /International Marine,72
Legend Of The Seas,Royal Caribbean International,98
Liberty of the Seas,Royal Caribbean International,100
Maasdam,Holland America Line,92
Majesty Of The Seas,Royal Caribbean International,99
Mariner Of The Seas,Royal Caribbean International,99
