price,street,number,city,sqft,bedrooms,baths,corner,pool,lakeshore,foreclosed,recorded
238.0,Enchanted Cir,3509,Arlington,2357,4,2,1,0,0,0,9/15/2014
285.0,Enchanted Cir,3500,Arlington,3227,3,3,1,0,0,0,9/15/2014
245.0,Enchanted Cir,3508,Arlington,2759,3,2,0,0,0,0,9/15/2014
223.0,Enchanted Cir,3512,Arlington,2106,3,2,0,0,0,0,9/15/2014
240.0,Enchanted Cir,3616,Arlington,3516,4,3,1,0,0,0,9/15/2014
343.0,Lake Tahoe,3521,Arlington,3772,4,3,1,0,0,0,9/15/2014
209.0,Lake Tahoe,3520,Arlington,2757,3,2,1,0,0,0,9/15/2014
421.0,Lake Tahoe,3519,Arlington,4537,4,4,0,0,0,0,9/15/2014
212.0,Lake Tahoe,3518,Arlington,3518,3,2,0,0,0,0,9/15/2014
247.0,Lake Tahoe,3517,Arlington,3298,4,3,0,0,0,0,9/15/2014
255.0,Lake Tahoe,3516,Arlington,3488,3,2,0,0,0,0,9/15/2014
254.0,Lake Tahoe,3515,Arlington,2828,4,2,0,0,0,0,9/15/2014
212.0,Lake Tahoe,3512,Arlington,2742,4,2,0,0,0,0,9/15/2014
358.0,Lake Tahoe,3509,Arlington,3556,4,3,0,1,0,0,9/15/2014
257.0,Lake Tahoe,3510,Arlington,3522,3,2,0,0,0,0,9/15/2014
392.0,Lake Tahoe,3509,Arlington,3556,4,3,0,1,0,0,9/15/2014
242.0,Lake Tahoe,3508,Arlington,3127,4,3,0,0,0,0,9/15/2014
257.0,Lake Tahoe,3507,Arlington,2663,3,3,0,0,0,0,9/15/2014
225.0,Lake Tahoe,3506,Arlington,2545,3,2,0,1,0,0,9/15/2014
226.0,Lake Tahoe,3504,Arlington,2695,3,2,0,0,0,0,9/15/2014
241.0,Lake Tahoe,3500,Arlington,4580,4,4,1,0,0,0,9/15/2014
178.0,Lake Tahoe,3601,Arlington,2563,4,2,1,0,0,1,9/16/2014
220.0,Lake Tahoe,3600,Arlington,2154,4,3,1,0,0,0,9/16/2014
215.0,Lake Tahoe,3602,Arlington,2548,4,3,0,0,0,0,9/16/2014
199.0,Lake Tahoe,3603,Arlington,2460,3,2,0,0,0,0,9/16/2014
223.0,Lake Tahoe,3604,Arlington,2968,3,2,0,0,0,0,9/16/2014
199.0,Lake Tahoe,3605,Arlington,2413,4,2,0,0,0,0,9/16/2014
211.0,Lake Tahoe,3606,Arlington,2736,4,2,0,0,0,0,9/16/2014
192.0,Lake Tahoe,3607,Arlington,2180,4,3,0,0,0,0,9/16/2014
190.0,Lake Tahoe,3608,Arlington,2322,3,2,0,0,0,0,9/16/2014
213.0,Lake Tahoe,3609,Arlington,2290,4,3,0,0,0,0,9/16/2014
297.0,Lake Tahoe,3611,Arlington,2317,4,2,0,0,0,0,9/16/2014
247.0,Lake Tahoe,3612,Arlington,3116,4,3,0,0,0,0,9/16/2014
221.0,Lake Tahoe,3614,Arlington,2736,3,3,0,0,0,0,9/16/2014
196.0,Lake Tahoe,3615,Arlington,2815,3,2,0,0,0,0,9/16/2014
232.0,Lake Tahoe,3616,Arlington,3130,4,3,0,0,0,0,9/16/2014
207.0,Lake Tahoe,3617,Arlington,2392,4,3,0,0,0,0,9/16/2014
180.0,Lake Tahoe,3618,Arlington,2163,3,2,0,0,0,0,9/16/2014
210.0,Lake Tahoe,3619,Arlington,2752,3,2.5,0,0,0,0,9/16/2014
181.0,Lake Tahoe,3620,Arlington,2213,3,2,0,0,0,0,9/16/2014
216.0,Lake Tahoe,3621,Arlington,2349,3,2.5,0,0,0,0,9/16/2014
204.0,Lake Tahoe,3623,Arlington,2196,4,2,0,0,0,0,9/16/2014
220.0,Lake Tahoe,3624,Arlington,2853,3,2,0,0,0,0,9/16/2014
231.0,Lake Tahoe,3625,Arlington,3398,4,3,0,0,0,0,9/16/2014
183.0,Lake Tahoe,3627,Arlington,2155,4,3,0,0,0,0,9/16/2014
201.0,Lake Tahoe,3629,Arlington,2595,4,2,0,0,0,0,9/16/2014
203.0,Lake Tahoe,3631,Arlington,3652,4,3,1,0,0,0,9/16/2014
198.0,Lake Tahoe,7200,Arlington,2411,3,3,1,0,0,0,9/16/2014
207.0,Lake Tahoe,7202,Arlington,2536,3,2,0,0,0,0,9/16/2014
264.0,Lake Tahoe,7294,Arlington,3188,5,3,0,0,0,0,9/16/2014
292.0,Lake Tahoe,7205,Arlington,2952,4,3,0,0,0,0,9/16/2014
297.0,Lake Tahoe,7206,Arlington,3242,3,2,0,0,0,0,9/16/2014
310.0,Lake Tahoe,7207,Arlington,3593,4,4,1,0,0,0,9/16/2014
370.5,Lake Powell,7003,Arlington,2791,3,2,1,0,1,0,9/17/2014
276.3,Lake Powell,7004,Arlington,3650,4,2,1,0,0,0,9/17/2014
557.2,Lake Powell,7007,Arlington,4022,4,3,1,0,1,0,9/17/2014
638.7,Lake Powell,7009,Arlington,5318,6,6.5,1,1,1,0,9/17/2014
274.0,Lake Powell,7008,Arlington,3364,4,3,0,0,0,0,9/17/2014
493.5,Lake Powell,7011,Arlington,3546,3,2,0,0,1,0,9/17/2014
358.7,Lake Powell,7010,Arlington,4033,3,2,0,1,0,0,9/18/2014
270.9,Lake Powell,7100,Arlington,3093,3,2,0,0,1,0,9/18/2014
609.6,Lake Powell,7101,Arlington,4890,6,3.5,0,1,1,0,9/18/2014
653.5,Lake Powell,7103,Arlington,4550,4,5.5,0,1,1,0,9/18/2014
363.4,Lake Powell,7104,Arlington,4428,3,2,0,0,0,0,9/18/2014
507.9,Lake Powell,7105,Arlington,3597,3,2,0,1,1,0,9/18/2014
