Magnatude	Date_Time Depth	Depth
1.7	2015/05/13 13:06:40 HST	3.2
0.8	2015/05/13 10:35:02 HST	2.4
2	2015/05/13 05:41:28 HST	3.9
1.8	2015/05/13 03:40:28 HST	2.4
2.7	2015/05/13 03:09:53 HST	8.2
2.2	2015/05/13 01:41:04 HST	2.6
1.8	2015/05/13 00:49:55 HST	4.8
1.8	2015/05/12 22:06:23 HST	2.4
2.1	2015/05/12 21:02:30 HST	2.7
1.9	2015/05/12 19:01:03 HST	1.6
1.7	2015/05/12 18:41:13 HST	23.8
2	2015/05/12 18:02:43 HST	3.5
0.7	2015/05/12 17:28:34 HST	2.9
2.3	2015/05/12 16:28:58 HST	2.5
2.3	2015/05/12 14:19:52 HST	0
1.8	2015/05/12 13:47:55 HST	2.2
2.5	2015/05/12 13:30:08 HST	1.1
0.7	2015/05/12 12:28:50 HST	5.2
2.2	2015/05/12 11:47:02 HST	0.4
0.7	2015/05/12 11:46:44 HST	6.5
1.9	2015/05/12 10:46:51 HST	2.5
0.7	2015/05/12 10:44:27 HST	3.4
0.7	2015/05/12 09:48:03 HST	3.9
1.7	2015/05/12 09:29:40 HST	2.4
0.6	2015/05/12 09:29:33 HST	2.5
1.9	2015/05/12 08:52:35 HST	2.6
2	2015/05/12 08:18:46 HST	3.7
1.9	2015/05/12 08:01:34 HST	5.5
1.2	2015/05/12 07:24:18 HST	2.5
1.7	2015/05/12 07:02:46 HST	2.6
1.5	2015/05/12 06:37:17 HST	2.9
0.5	2015/05/12 05:39:05 HST	2.5
1.5	2015/05/12 05:37:49 HST	0.3
0.5	2015/05/12 05:03:05 HST	1
0.8	2015/05/12 02:33:36 HST	3.3
1.8	2015/05/12 02:16:57 HST	3.1
0.4	2015/05/12 02:11:38 HST	3.8
0.9	2015/05/12 01:20:04 HST	3.7
0.6	2015/05/12 00:47:27 HST	3.4
1.8	2015/05/11 23:47:01 HST	2.8
0.6	2015/05/11 22:54:25 HST	2.8
1.5	2015/05/11 22:36:37 HST	2.6
0.8	2015/05/11 22:36:15 HST	2.5
2.4	2015/05/11 21:55:42 HST	2
2	2015/05/11 21:53:09 HST	2
0.4	2015/05/11 21:23:03 HST	2.7
1.8	2015/05/11 20:04:57 HST	2.5
2.1	2015/05/11 20:00:18 HST	1.4
2.2	2015/05/11 16:36:00 HST	0
2.4	2015/05/11 15:52:19 HST	2.3
3.1	2015/05/11 15:40:41 HST	2.5
2.3	2015/05/11 15:35:24 HST	1.8
2.1	2015/05/11 12:11:59 HST	3.2
2.3	2015/05/11 11:35:16 HST	2.4
2.3	2015/05/11 07:39:43 HST	2.8
2.3	2015/05/11 04:25:16 HST	43
1.9	2015/05/11 00:18:02 HST	2.9
2	2015/05/10 21:18:25 HST	3.1
1.6	2015/05/10 19:33:08 HST	3.8
2	2015/05/10 19:11:45 HST	7.3
2.5	2015/05/10 17:16:43 HST	3.6
2.3	2015/05/10 16:13:26 HST	27
1.9	2015/05/10 15:34:56 HST	5.5
2.3	2015/05/10 15:03:44 HST	1.4
2.1	2015/05/10 09:55:15 HST	2.3
2.5	2015/05/10 07:47:25 HST	2.4
2.3	2015/05/10 07:46:59 HST	2.4
1.7	2015/05/10 07:45:22 HST	2.2
0.6	2015/05/10 07:44:39 HST	1.9
2.8	2015/05/10 07:21:30 HST	1.8
1.8	2015/05/10 07:12:24 HST	2.1
2.2	2015/05/10 06:35:28 HST	2.5
2.1	2015/05/10 05:59:38 HST	2.1
2.3	2015/05/10 03:54:00 HST	4
2.3	2015/05/10 03:53:54 HST	3.4
1.9	2015/05/10 01:47:40 HST	1.6
1.7	2015/05/10 00:45:28 HST	1.7
2.4	2015/05/10 00:40:17 HST	2.8
2.3	2015/05/10 00:12:58 HST	1.3
2.9	2015/05/09 23:58:50 HST	1.3
2.9	2015/05/09 23:25:10 HST	1.1
1.9	2015/05/09 23:11:16 HST	3.3
2.2	2015/05/09 22:30:46 HST	6
1.9	2015/05/09 22:22:14 HST	1.8
1.7	2015/05/09 18:13:52 HST	2.9
2.1	2015/05/09 17:51:30 HST	3.3
1.9	2015/05/09 17:16:18 HST	0
2	2015/05/09 16:44:46 HST	2.8
2.3	2015/05/09 16:42:29 HST	2.9
2.3	2015/05/09 16:29:30 HST	2.8
2.6	2015/05/09 09:11:42 HST	32.2
2.3	2015/05/09 08:48:31 HST	0.4
2.1	2015/05/09 04:12:48 HST	0.2
4.4	2015/05/09 02:18:48 HST	11
1.9	2015/05/09 02:17:55 HST	2.4
2.2	2015/05/09 02:12:15 HST	2.4
1.7	2015/05/09 02:08:47 HST	9.1
2.2	2015/05/08 20:57:12 HST	2.9
2.1	2015/05/08 19:22:23 HST	2.4
0.4	2015/05/08 14:54:04 HST	2
0.4	2015/05/08 13:23:50 HST	2.2
0.6	2015/05/08 10:27:27 HST	1.4
2.3	2015/05/08 05:47:07 HST	8
0.4	2015/05/08 04:28:32 HST	1.7
1.8	2015/05/08 04:07:12 HST	2.4
2.3	2015/05/08 00:02:46 HST	2.9
2.1	2015/05/07 19:48:35 HST	3.8
0.5	2015/05/07 19:47:52 HST	2.6
2	2015/05/07 16:59:26 HST	2.6
0.7	2015/05/07 16:42:08 HST	1.7
2.1	2015/05/07 15:41:14 HST	2
2.3	2015/05/07 12:03:18 HST	2
2.8	2015/05/07 08:27:17 HST	2.8
2.9	2015/05/07 08:24:13 HST	2.9
2.2	2015/05/07 08:20:41 HST	2.8
0.6	2015/05/07 08:19:28 HST	3
0.6	2015/05/07 08:13:56 HST	3.1
0.7	2015/05/07 07:42:07 HST	2.7
0.6	2015/05/07 07:41:21 HST	2.9
0.8	2015/05/07 07:11:31 HST	2.8
0.7	2015/05/07 07:02:33 HST	2.9
1.9	2015/05/07 06:47:50 HST	2.5
1	2015/05/07 06:35:40 HST	2.3
2.1	2015/05/07 05:54:04 HST	2.6
0.8	2015/05/07 05:14:20 HST	3.1
2	2015/05/07 02:23:40 HST	8.1
2.2	2015/05/07 02:22:31 HST	2.7
2.6	2015/05/07 02:10:46 HST	9.8
0.7	2015/05/07 00:00:47 HST	3.2
1.8	2015/05/06 23:52:41 HST	1.3
0.7	2015/05/06 23:28:21 HST	3
1.8	2015/05/06 21:52:05 HST	34.9
1.5	2015/05/06 19:39:01 HST	26.4
1.2	2015/05/06 19:38:04 HST	2.7
2	2015/05/06 15:42:51 HST	2.3
1.7	2015/05/06 15:21:28 HST	11.2
0.7	2015/05/06 14:50:28 HST	3.2
2.2	2015/05/06 14:28:39 HST	2.6
2	2015/05/06 14:21:43 HST	2.6
1.8	2015/05/06 11:51:53 HST	3.9
0.7	2015/05/06 11:51:36 HST	3.3
1	2015/05/06 11:23:11 HST	1.3
0.9	2015/05/06 10:44:02 HST	1.6
2.5	2015/05/06 10:13:36 HST	2.8
1.2	2015/05/06 08:45:53 HST	0.7
1.2	2015/05/06 08:41:33 HST	1.5
0.6	2015/05/06 08:00:22 HST	1.4
0.9	2015/05/06 07:31:30 HST	3.2
0.5	2015/05/06 07:23:14 HST	2.6
1.3	2015/05/06 07:16:04 HST	5.1
0.9	2015/05/06 06:38:52 HST	3
1	2015/05/06 06:17:47 HST	2.3
1.5	2015/05/06 06:09:31 HST	1.2
1.2	2015/05/06 06:08:09 HST	3.3
0.6	2015/05/06 05:56:52 HST	1.2
1.2	2015/05/06 05:54:07 HST	2.4
1.1	2015/05/06 05:43:13 HST	2.1
