time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-01T00:36:30.200Z,19.3247,-155.0353,1.9,2.1,Ml,,208.8,0.08983153,0.14,hv,hv60614021,2014-01-02T23:30:09.143Z,"20km SW of Leilani Estates, Hawaii",earthquake
2014-01-01T01:58:14.200Z,19.3297,-155.0803,4.6,2.5,Ml,,262.8,0.05389892,0.24,hv,hv60614061,2014-01-01T10:00:42.249Z,"19km SE of Volcano, Hawaii",earthquake
2014-01-01T01:58:50.200Z,19.2765,-155.4777,8,2.5,Ml,,57.6,0.03593261,0.35,hv,hv60614066,2014-01-01T10:01:17.890Z,"7km N of Pahala, Hawaii",earthquake
2014-01-01T16:19:20.500Z,19.2702,-155.2123,7.9,1.3,Md,,165.6,0.01796631,0.11,hv,hv60614331,2014-01-03T03:07:23.576Z,"17km S of Volcano, Hawaii",earthquake
2014-01-01T16:55:02.700Z,19.053,-155.4425,38.9,2.2,Md,,212.4,0.10779783,0.14,hv,hv60614346,2014-01-01T16:58:22.272Z,"17km SSE of Pahala, Hawaii",earthquake
2014-01-02T03:24:25.200Z,19.5907,-156.2052,38.6,2.4,Md,,255.6,0.18864621,0.24,hv,hv60614601,2014-01-02T03:28:19.231Z,"22km WSW of Kailua-Kona, Hawaii",earthquake
2014-01-02T20:07:19.800Z,19.3717,-155.326,27.2,1.5,Md,,46.8,0.01796631,0.1,hv,hv60614856,2014-01-02T22:22:36.562Z,"11km SW of Volcano, Hawaii",earthquake
2014-01-02T20:43:40.700Z,19.3478,-155.3073,3.7,0.5,Md,,93.6,0.01796631,0.03,hv,hv60614881,2014-01-04T21:47:01.539Z,"11km SW of Volcano, Hawaii",earthquake
2014-01-02T20:43:55.300Z,19.3487,-155.3052,3.6,0.5,Md,,133.2,0.00898315,0.02,hv,hv60235478,2014-01-04T22:10:54.303Z,"11km SW of Volcano, Hawaii",earthquake
2014-01-03T05:42:18.600Z,19.7923,-155.8303,14.7,2,Md,,190.8,0.10779783,0.23,hv,hv60615251,2014-01-03T05:45:41.295Z,"15km S of Waikoloa Village, Hawaii",earthquake
2014-01-03T11:22:50.100Z,19.3915,-155.2797,2.6,2.1,Ml,,43.2,0.00898315,0.16,hv,hv60615321,2014-01-03T11:28:40.404Z,"6km SW of Volcano, Hawaii",earthquake
2014-01-03T13:23:01.300Z,19.3878,-155.2782,2.3,1.9,Ml,,64.8,0,0.1,hv,hv60615356,2014-01-03T23:48:11.129Z,"6km SW of Volcano, Hawaii",earthquake
2014-01-03T14:46:03.100Z,19.4573,-155.6023,2.5,0.8,Md,,93.6,0.00898315,0.1,hv,hv60615386,2014-01-03T17:58:34.866Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-01-03T18:11:09.500Z,19.3368,-155.1323,6.7,2.3,Ml,,126,0.02694946,0.11,hv,hv60615441,2014-01-03T20:53:39.347Z,"15km SE of Volcano, Hawaii",earthquake
2014-01-04T08:42:52.500Z,19.2098,-156.3957,8.3,2.2,Md,,255.6,0.50305656,0.24,hv,hv60615641,2014-01-04T08:46:28.878Z,"59km WSW of Captain Cook, Hawaii",earthquake
2014-01-04T13:30:41.800Z,19.3815,-155.246,3,2,Ml,,79.2,0.00898315,0.18,hv,hv60615716,2014-01-04T13:36:26.158Z,"5km S of Volcano, Hawaii",earthquake
2014-01-04T19:32:41.300Z,19.3415,-155.2248,8,0.8,md,,104.3999916,0.03593261,0.03,hv,hv60615776,2014-01-04T22:25:41.000Z,"9km S of Volcano, Hawaii",earthquake
2014-01-05T02:32:23.900Z,19.3672,-155.5852,3.6,1.9,Md,,154.8,0.05389892,0.31,hv,hv60615876,2014-01-05T02:35:33.927Z,"21km NNW of Pahala, Hawaii",earthquake
2014-01-05T10:31:45.100Z,19.9803,-155.535,14.2,2,Md,,172.8,0.16169675,0.11,hv,hv60616016,2014-01-05T10:35:17.740Z,"13km SSW of Honoka'a, Hawaii",earthquake
2014-01-05T12:18:02.600Z,19.3803,-155.2387,1.7,2.1,Ml,,86.4,0.00898315,0.19,hv,hv60616081,2014-01-05T12:23:50.931Z,"5km S of Volcano, Hawaii",earthquake
2014-01-05T12:18:04.400Z,19.4097,-155.2632,3.3,1.8,Md,,100.8,0,0.12,hv,hv60616086,2014-01-05T12:21:20.597Z,"3km SW of Volcano, Hawaii",earthquake
2014-01-05T12:41:20.000Z,19.3802,-155.2412,2.1,1.8,ml,,86.39999309,0.008983153,0.11,hv,hv60616111,2014-01-05T12:47:04.000Z,"5km S of Volcano, Hawaii",earthquake
2014-01-05T12:49:04.300Z,19.3843,-155.239,1,1.9,Ml,,86.4,0.00898315,0.2,hv,hv60616126,2014-01-05T12:54:49.411Z,"5km S of Volcano, Hawaii",earthquake
2014-01-06T07:06:57.300Z,19.86,-155.5233,23,2.4,Md,,122.4,0.10779783,0.19,hv,hv60616516,2014-01-06T07:10:16.457Z,"23km SE of Waimea, Hawaii",earthquake
2014-01-06T07:53:35.900Z,19.3835,-155.279,3.5,3,Ml,,46.8,0,0.33,hv,hv60616536,2014-03-07T00:26:00.000Z,"6km SW of Volcano, Hawaii",earthquake
2014-01-06T10:30:43.100Z,19.3703,-155.2275,2.6,1.7,Md,,97.2,0.00898315,0.18,hv,hv60616571,2014-01-06T10:35:54.806Z,"6km S of Volcano, Hawaii",earthquake
