Page,Line,MLS,Condo,Unit,Type,Island,Geographic Area,City,Zip,Price,Score,Beds,Area,Built,Days,Pool,Sunrise View,Sunset View,Ocean View,Ocean Frontage,Honolulu View,Diamond Head View,Golf View,Mountain View, Monthly Fees
3,5,201500985,Honolulu Tower,1609,Residential,Oahu,Honolulu,China Town,96817,439,95,2,1064,1982,51,Yes,No,Yes,Yes,No,Yes,No,No,No,894
4,1,275541,Alii Villas,236,Vacation,Big Island,Kailua-Kona,Kailua-Kona,96740,440,78,2,761,1973,180,Yes,No,Yes,Yes,Yes,No,No,No,No,498
5,4,201503880,Four Paddle,2406,Residential,Oahu,Honolulu,Waikiki,96815,450,80,1,553,1974,1,Yes,No,No,Yes,No,No,No,No,No,676
9,6, 280945,Keauhou Punahele,D301,Both,Big Island,Kailua-Kona,Keauhou,96740,429,81,3,1361,1979,41,Yes,No,No,Partial,No,No,No,Yes,No,601
10,6,201503142,Palms Inc,1202,Residential,Oahu,Honolulu,Waikiki,96815,465,90,2,950,1968,12,Yes,No,No,Partial,No,Yes,No,Yes,Yes,687
17,8,201503556,Island Courtyards at Mililani Mauka,A 206,Residential,Oahu,Central,Mililani Mauka,96789,355,85,2,704,2007,4,No,No,Yes,No,No,No,No,No,Yes,586
21,4,201501175,Ala Wai Manor,1101,Residential,Oahu,Honolulu,McCully,96826,369,91,2,750,1966,49,Yes,Yes,Yes,Yes,No,Yes,No,No,No,581
23,4,279758,Kanaloa at Kona,405,Vacation,Big Island,Kailua-Kona,Keauhou,96740,439,70,2,1500,1080,180,Yes,No,No,Yes,No,No,No,No,Yes,NA
25,9,201500881,Mountain View Terrace,A108,Residential,Oahu,Kaneohe,Kaneohe,96744,380,84,3,1172,1974,49,Yes,No,No,No,No,No,No,No,Yes,596
27,2,363740,Napili Villas,1,Vacation,Maui,West Side,Napili,96761,398,73,2,894,NA,46,No,No,No,No,No,No,No,No,No,320
35,1,201421488,Tropicana Manor-Moanalua,8711,Residential,Oahu,Honolulu,Salt Lake,96818,339,96,3,1178,1969,180,Yes,No,Yes,No,No,No,No,No,No,550
36,10,201503041,Mariners Place Townhomes,1 4N4,Residential,Oahu,Ewa,Ocean Pointe,96740,375,74,3,1043,2002,15,No,No,No,No,No,No,No,No,No,416
38,7,278894,7th Fairway Villas at Waikoloa,23,Vacation,Big Island,Kahaloa Coast,Waikoloa Village,96738,399,70,3,1258,2004,120,No,No,No,No,No,No,No,No,No,425
45,5,272612,Puanana,10A,Vacation,Kauai,North Shore,Princeville,96722,390,72,2,1510,1979,336,No,No,No,No,No,No,No,No,No,717
48,8,280052,Waikoloa Colony Villas,2306,Vacation,Big Island,Kahaloa Coast,Waikoloa Beach Resort,96701,429,58,2,1236,2003,60,Yes,No,No,No,No,No,No,No,No,635
49,10,363526,Villas at Kenolio I,6C,Vacation,Maui,South Side,Kihei,96753,399.5,64,3,1168,NA,60,Yes,No,No,Yes,No,No,No,No,Yes,632
53,3,201503237,2465 Kuhio At Waikiki,1506,Residential,Oahu,Honolulu,Waikiki,96815,475,70,2,876,1971,13,No,No,No,Yes,No,Yes,No,Yes,Yes,650
57,10,201500607,Ilikai Apt Bldg,1223,Residential,Oahu,Honolulu,Waikiki,96815,418,56,1,500,1965,60,Yes,No,No,No,No,No,No,No,Yes,427
62,4,363458,Island Sands,303,Vacation,Maui,Central,Maalaea,96793,395,58,1,559,NA,60,Yes,No,No,Yes,No,No,No,No,Yes,382
