Id,Distance,Velocity,Astronomer
NGC SMC,0.032,170,Hubble
MGC LMC,0.034,290,Hubble
MGC 6822,0.214,-130,Hubble
NGC 598,0.263,-70,Hubble
NGC 221,0.275,-220,Hubble
NGC 224,0.275,-200,Hubble
NGX 5357,0.450,200,Hubble
NGC 4736,0.500,290,Hubble
NGC 5194,0.500,270,Hubble
NGC 4449,0.630,200,Hubble
NGC 4214,0.800,300,Hubble
NGC 3031,0.900,650,Hubble
NGC 3627,0.900,150,Hubble
NGC 5236,0.900,500,Hubble
NGC 1068,1.000,920,Hubble
NGC 1055,1.100,450,Hubble
NGC 7331,1.100,500,Hubble
NGC 4258,1.400,500,Hubble
NGC 4151,1.700,960,Hubble
NGC 4382,2.000,500,Hubble
NGC 4482,2.000,850,Hubble
NGC 4486,2.000,800,Hubble
NGC 4649,2.000,1090,Hubble
Virgo,1.600,890,Humason
Pegasus,6.800,4360,Humason
Pices,8.300,4630,Humason
Persus,9.400,5230,Humason
Comma,13.400,7500,Humason
Ursa Major,21.100,11800,Humason
Leo,35.100,19600,Humason
NGC 7814,1.800,1000,Humason
NGC 7868,10.200,5700,Humason
NGC 7869,12.000,6700,Humason
NGC 7872,12.500,7000,Humason
Gem I,43.000,24000,Humason
Gem II,41.200,23000,Humason
Anon 5,34.000,19000,Humason
Anon 6,75.300,42000,Humason
Anon 7,27.600,15400,Humason
Anon 9,69.900,39000,Humason
Anon 10,37.600,21000,Humason
Anon 11,16.500,9200,Humason
Anon 12,22.200,12000,Humason
