Year,Gold,Gold Time,Gold Time
2014, Sebastian Kienle (GER),8:14:18,494.30
2013, Frederik Van Lierde (BEL),8:12:29,492.48
2012, Pete Jacobs (AUS),8:18:37,480.01
2011, Craig Alexander (AUS),8:03:56,483.93
2010, Chris McCormack (AUS),8:10:37,490.62
2009, Craig Alexander (AUS),8:20:21,500.35
2008, Craig Alexander (AUS),8:17:45,497.75
2007, Chris McCormack (AUS),8:15:34,495.57
2006, Normann Stadler (GER),8:11:58,491.97
2005, Faris Al-Sultan (GER),8:14:17,494.28
2004, Normann Stadler (GER),8:33:29,513.48
2003, Peter Reid (CAN),8:22:35,502.58
2002, Tim DeBoom (USA),8:29:56,494.30
2001, Tim DeBoom (USA),8:31:18,511.30
2000, Peter Reid (CAN),8:21:01,501.02
1999, Luc Van Lierde (BEL),8:17:17,497.28
1998, Peter Reid (CAN),8:24:20,480.73
1997, Thomas Hellriegel (GER),8:33:01,513.02
1996, Luc Van Lierde (BEL),8:04:08,484.13
1995, Mark Allen (USA),8:20:34,500.57
1994, Greg Welch (AUS),8:20:27,500.45
1993, Mark Allen (USA),8:07:45,487.75
1992, Mark Allen (USA),8:09:08,489.13
1991, Mark Allen (USA),8:18:32,498.53
1990, Mark Allen (USA),8:28:17,494.30
1989, Mark Allen (USA),8:09:14,489.23
1988, Scott Molina (USA),8:31:00,511.00
1987, Dave Scott (USA),8:34:13,514.22
1986, Dave Scott (USA),8:28:37,508.62
1985, Scott Tinley (USA),8:50:54,530.07
1984, Dave Scott (USA),8:54:20,534.33
1983, Dave Scott (USA),9:05:57,545.95
1982 (Oct), Dave Scott (USA),9:08:23,548.38
1982 (Feb), Scott Tinley (USA),9:19:41,559.68
1981, John Howard (USA),9:38:29,578.48
1980, Dave Scott (USA),9:24:33,564.55
1979, Tom Warren (USA),11:15:56,675.93
1978, Gordon Haller (USA),11:46:58,706.97
