2011-Aug,Year,Month,mid,daysAvaliable,ownersDays,rentalDays,Revenue
2011-Sep,2011,Aug,8,3,0,3,94
2011-Oct,2011,Sep,9,30,0,30,-1
2011-Nov,2011,Oct,10,31,0,31,2047
2011-Dec,2011,Nov,11,30,0,30,1045
2012-Jan,2011,Dec,12,31,0,31,2057
2012-Feb,2012,Jan,1,31,0,31,1910
2012-Mar,2012,Feb,2,29,0,29,1931
2012-Apr,2012,Mar,3,31,0,31,2062
2012-May,2012,Apr,4,30,0,30,1367
2012-Jun,2012,May,5,31,10,21,885
2012-Jul,2012,Jun,6,30,2,28,1128
2012-Aug,2012,Jul,7,31,0,31,1786
2012-Sep,2012,Aug,8,31,0,31,1407
2012-Oct,2012,Sep,9,30,10,20,447
2012-Nov,2012,Oct,10,31,0,31,1639
2012-Dec,2012,Nov,11,30,8,22,705
2013-Jan,2012,Dec,12,31,10,21,1226
2013-Feb,2013,Jan,1,31,0,31,2141
2013-Mar,2013,Feb,2,28,0,28,1634
2013-Apr,2013,Mar,3,31,0,31,2255
2013-May,2013,Apr,4,30,7,23,1302
2013-Jun,2013,May,5,31,14,17,497
2013-Jul,2013,Jun,6,30,5,25,1075
2013-Aug,2013,Jul,7,31,0,31,1363
2013-Sep,2013,Aug,8,31,6,25,919
2013-Oct,2013,Sep,9,30,0,30,813
2013-Nov,2013,Oct,10,31,0,31,1652
2013-Dec,2013,Nov,11,30,0,30,1294
2014-Jan,2013,Dec,12,31,0,31,1978
2014-Feb,2014,Jan,1,31,0,31,2459
2014-Mar,2014,Feb,2,28,0,28,2054
2014-Apr,2014,Mar,3,31,0,31,2216
2014-May,2014,Apr,4,30,0,30,1185
2014-Jun,2014,May,5,31,12,19,417
2014-Jul,2014,Jun,6,30,8,22,1559
2014-Aug,2014,Jul,7,31,0,31,937
2014-Sep,2014,Aug,8,31,0,31,1175
2014-Oct,2014,Sep,9,30,0,30,2213
2014-Nov,2014,Oct,10,31,0,31,1847
2014-Dec,2014,Nov,11,30,0,30,1237
2015-Jan,2014,Dec,12,31,0,31,2138
2015-Feb,2015,Jan,1,31,0,31,2580
2015-Mar,2015,Feb,2,28,0,28,2396
2015-Apr,2015,Mar,3,31,0,31,2191
2015-May,2015,Apr,4,30,0,30,1239
2015-Jun,2015,May,5,31,11,20,352
2015-Jul,2015,Jun,6,30,15,15,681
2015-Aug,2015,Jul,7,31,0,31,1363
2015-Sep,2015,Aug,8,31,0,31,1053
2015-Oct,2015,Sep,9,30,0,31,92
2015-Nov,2015,Oct,10,31,0,31,1735
2015-Nov,2015,Nov,11,31,0,31,1114
2015-Dec,2015,Dec,12,31,0,31,2102
