Date	Last	Open	High	Low	Vol.	Change %
Mar 09, 2015	1167.00	1168.90	1174.40	1166.10	-	-0.17%
Mar 08, 2015	1169.00	1169.20	1169.80	1166.70	-	0.40%
Mar 06, 2015	1164.30	1197.50	1200.00	1162.90	-	-2.67%
Mar 05, 2015	1196.20	1200.20	1208.90	1195.80	131.86K	-0.39%
Mar 04, 2015	1200.90	1203.80	1208.40	1197.70	107.56K	-0.29%
Mar 03, 2015	1204.40	1206.10	1214.40	1194.60	155.66K	-0.31%
Mar 02, 2015	1208.20	1213.80	1223.00	1204.20	133.10K	-0.40%
Feb 27, 2015	1213.10	1208.80	1219.20	1204.10	113.77K	0.25%
Feb 26, 2015	1210.10	1203.90	1219.90	1203.40	137.28K	0.72%
Feb 25, 2015	1201.50	1200.80	1211.70	1200.70	106.08K	0.35%
Feb 24, 2015	1197.30	1201.90	1204.40	1190.00	116.61K	-0.29%
Feb 23, 2015	1200.80	1203.50	1210.30	1190.60	115.22K	-0.34%
Feb 20, 2015	1204.90	1208.00	1215.30	1197.70	109.25K	-0.22%
Feb 19, 2015	1207.60	1212.50	1222.90	1205.20	115.72K	0.62%
Feb 18, 2015	1200.20	1209.30	1213.40	1197.20	121.13K	-0.70%
Feb 17, 2015	1208.60	1227.50	1236.70	1203.30	181.84K	-1.88%
Feb 16, 2015	1231.70	1228.70	1236.40	1228.50	-	0.24%
Feb 15, 2015	1228.80	1228.20	1229.30	1227.80	-	0.14%
Feb 13, 2015	1227.10	1223.00	1234.90	1222.50	96.37K	0.52%
Feb 12, 2015	1220.70	1218.30	1232.80	1218.00	109.41K	0.09%
Feb 11, 2015	1219.60	1234.10	1238.70	1216.50	116.28K	-1.02%
Feb 10, 2015	1232.20	1238.30	1245.90	1230.60	97.14K	-0.75%
Feb 09, 2015	1241.50	1235.90	1243.60	1234.40	92.65K	0.56%
Feb 06, 2015	1234.60	1266.40	1269.00	1228.20	205.10K	-2.23%
Feb 05, 2015	1262.70	1270.40	1274.60	1256.10	113.83K	-0.14%
Feb 04, 2015	1264.50	1261.50	1273.30	1256.90	136.18K	0.33%
Feb 03, 2015	1260.30	1275.60	1286.50	1255.80	181.99K	-1.30%
Feb 02, 2015	1276.90	1283.00	1283.90	1266.50	119.88K	-0.18%
Jan 30, 2015	1279.20	1259.00	1285.40	1257.50	163.88K	1.86%
Jan 29, 2015	1255.90	1284.00	1286.60	1252.10	243.65K	-2.43%
Jan 28, 2015	1287.20	1293.50	1294.60	1280.20	150.97K	-0.44%
Jan 27, 2015	1292.90	1281.90	1298.60	1273.00	90.04K	0.98%
Jan 26, 2015	1280.40	1294.00	1300.20	1276.60	58.78K	-1.02%
Jan 23, 2015	1293.60	1302.50	1303.00	1285.40	40.48K	-0.62%
Jan 22, 2015	1301.70	1294.80	1308.80	1280.00	37.51K	0.54%
Jan 21, 2015	1294.70	1295.00	1308.00	1285.70	22.93K	-0.04%
Jan 20, 2015	1295.20	1280.70	1298.10	1273.70	21.76K	1.51%
Jan 19, 2015	1275.90	1279.40	1279.50	1272.50	-	-0.24%
Jan 18, 2015	1279.00	1281.00	1281.90	1275.70	-	0.09%
Jan 16, 2015	1277.90	1264.10	1283.40	1256.20	26.75K	0.96%
Jan 15, 2015	1265.70	1230.80	1268.00	1227.20	23.03K	2.45%
Jan 14, 2015	1235.40	1232.80	1245.50	1225.80	21.12K	0.01%
Jan 13, 2015	1235.30	1233.90	1245.20	1229.60	21.70K	0.13%
Jan 12, 2015	1233.70	1224.30	1236.60	1218.50	18.28K	1.37%
Jan 09, 2015	1217.00	1209.60	1224.90	1208.70	17.20K	0.64%
Jan 08, 2015	1209.30	1212.20	1217.10	1205.50	20.77K	-0.18%
Jan 07, 2015	1211.50	1220.20	1220.20	1209.80	8.24K	-0.65%
Jan 06, 2015	1219.40	1204.00	1223.30	1201.60	190.36K	1.28%
Jan 05, 2015	1204.00	1187.80	1207.50	1177.80	149.11K	1.50%
