       1 A  202.40
       1 B  203.20
       1 C  223.70
       1 D  203.60
       2 A  242.00
       2 B  248.70
       2 C  259.80
       2 D  240.70
       3 A  220.40
       3 B  227.30
       3 C  240.00
       3 D  207.40
       4 A  230.00
       4 B  243.10
       4 C  247.70
       4 D  226.90
       5 A  191.60
       5 B  211.40
       5 C  218.70
       5 D  200.10
       6 A  247.70
       6 B  253.00
       6 C  268.10
       6 D  244.00
       7 A  214.80
       7 B  214.80
       7 C  233.90
       7 D  195.80
       8 A  245.40
       8 B  243.60
       8 C  257.80
       8 D  227.90
       9 A  224.00
       9 B  231.50
       9 C  238.20
       9 D  215.70
      10 A  252.20
      10 B  255.20
      10 C  265.40
      10 D  245.20
