    2004 Jan            1   99.23   30.52   27.73  157.48  100.00
    2004 Feb            2   96.50   29.20   26.61  152.31   96.72
    2004 Mar            3   91.84   27.20   25.00  144.04   91.47
    2004 Apr            4   88.17   25.73   26.20  140.10   88.96
    2004 May            5   88.59   28.55   26.30  143.44   91.08
    2004 Jun            6   88.15   27.60   28.64  144.39   91.69
    2004 Jul            7   87.07   24.38   28.57  140.02   88.91
    2004 Aug            8   84.69   21.29   27.38  133.36   84.68
    2004 Sep            9   85.74   20.06   27.73  133.53   84.79
    2004 Oct           10   89.75   22.26   28.05  140.06   88.94
    2004 Nov           11   94.24   22.38   26.81  143.43   91.08
    2004 Dec           12   98.58   23.39   26.72  148.69   94.42
    2005 Jan           13   93.42   22.45   26.28  142.15   90.27
    2005 Feb           14   92.58   23.99   25.16  141.73   90.00
    2005 Mar           15   91.38   23.23   24.17  138.78   88.13
    2005 Apr           16   76.38   23.52   25.30  125.20   79.50
    2005 May           17   75.55   26.96   25.80  128.31   81.48
    2005 Jun           18   74.20   26.02   24.84  125.06   79.41
    2005 Jul           19   83.46   27.14   25.61  136.21   86.49
    2005 Aug           20   80.62   25.72   27.38  133.72   84.91
    2005 Sep           21   80.22   24.65   25.73  130.60   82.93
    2005 Oct           22   81.88   23.50   25.70  131.08   83.24
    2005 Nov           23   88.90   26.68   27.68  143.26   90.97
    2005 Dec           24   82.20   24.96   26.15  133.31   84.65
