    1975    4.42
    1976    4.35
    1977    4.62
    1978    5.40
    1979   11.09
    1980   20.64
    1981   10.52
    1982    7.95
    1983   11.44
    1984    8.14
    1985    6.14
    1986    5.47
    1987    7.01
    1988    6.53
    1989    5.50
    1990    4.82
    1991    4.04
    1992    3.94
    1993    4.30
    1994    5.30
    1995    5.20
    1996    5.18
    1997    4.89
    1998    5.48
    1999    5.22
    2000    4.97
    2001    4.37
    2002    4.60
    2003    4.80
    2004    6.67
    2005    7.32
