Dartmouth        503   38400     704       .  119800
Michigan        1873   33076     690      91  105986
CMU              661   38800     691      93   95531
Northwestern    2650   38844     700      94  117060
Yale             468   36800     696      86  104018
Pennsylvania    1840   40458     716      92  117471
Berkeley        1281   21512     701      92  112699
Columbia        1796   38290     709      95  126319
UNC              855   16375     652      86   92565
USC             1588   37558     685      82   88839
