 1   Ally                                 52                R                    55.00
 2   Batty                                12                C                    12.00
 3   Bongo                                28                R                    40.00
 4   Blackie                              52                C                    10.00
 5   Bucky                                40                R                    45.00
 6   Bumble                               28                R                   600.00
 7   Crunch                               21                C                    10.00
 8   Congo                                28                C                    10.00
 9   Derby                                28                R                    30.00
10   Digger                               40                R                   150.00
11   Echo                                 17                R                    20.00
12   Fetch                                 5                C                    15.00
13   Early                                 5                C                    20.00
14   Flip                                 28                R                    40.00
15   Garcia                               28                R                   200.00
16   Happy                                52                R                    20.00
17   Grunt                                28                R                   175.00
18   Gigi                                  5                C                    15.00
19   Goldie                               52                R                    45.00
20   Iggy                                 10                C                    10.00
21   Inch                                 28                R                    20.00
22   Jake                                  5                C                    20.00
23   Kiwi                                 40                R                   165.00
24   Kuku                                  5                C                    20.00
25   Mistic                               11                R                    45.00
26   Mel                                  21                C                    10.00
27   Nanook                               17                C                    15.00
28   Nuts                                 21                C                    10.00
29   Peace                                17                C                    25.00
30   Patty                                64                R                   800.00
31   Quacker                              40                R                    15.00
32   Puffer                               10                C                    15.00
33   Princess                             12                C                    65.00
34   Scottie                              28                R                    28.00
35   Rover                                28                R                    15.00
36   Rex                                  40                R                   825.00
37   Sly                                  28                C                    10.00
38   Slither                              52                R                  1900.00
39   Skip                                 21                C                    10.00
40   Splash                               52                R                   150.00
41   Spooky                               28                R                    40.00
42   Snowball                             12                R                    40.00
43   Stinger                               5                C                    15.00
44   Spot                                 52                R                    65.00
45   Tank                                 28                R                    85.00
46   Stripes                              40                R                   400.00
47   Teddy                                12                R                    50.00
48   Tuffy                                17                C                    10.00
49   Tracker                               5                C                    15.00
50   Zip                                  28                R                    40.00
