        1    930000 CERCLA         
        2     10000 CWA            
        3     90600 CAA            
        4    123549 CWA            
        5     37500 CWA            
        6    137500 CWA            
        7      2500 SDWA           
        8   1000000 CWA            
        9     25000 CAA            
        9     25000 CAA            
       10     25000 CWA            
       10     25000 RCRA           
       11     19100 CAA            
       12    100000 CWA            
       12     30000 CWA            
       13     35000 CAA            
       13     43000 CWA            
       14    190000 CWA            
       15     15000 CWA            
       16     90000 RCRA           
       17     20000 CWA            
       18     40000 CWA            
       19     20000 CWA            
       20     40000 CWA            
       21    850000 CWA            
       22     35000 CWA            
       23      4000 CAA            
       24     25000 CWA            
       25     40000 CWA            
       26     30000 CAA            
       27     15000 CWA            
       28     15000 CAA            
       29    105000 CAA            
       30     20000 CWA            
       31    400000 CWA            
       32     85000 CWA            
       33    300000 CWA/RCRA/CERCLA
       34     30000 CWA            
