        1 Holland & Knight     Tallahasse       529        11
        2 Akerman Senterfit    Orlando          355         9
        3 Greenberg Traurig    Miami            301         6
        4 Carlton Fields       Tampa            207         6
        5 Gruden McClosky Smit Ft. Lauder       175         9
        6 Fowler White Boggs   Tampa            175         7
        7 Foley & Lardner      Orlando          159         5
        8 GrayHarris           Orlando          158         6
        9 Broad and Cassel     Orlando          150         7
       10 Shutts & Bowen       Miami            144         5
       11 Steel Hector & Davis Miami            141         5
       12 Gunster Yoakley      WPalmBeach       140         6
       13 Adorno & Zeder       Miami            105         4
       14 Becker & Poliakoff   Ft. Lauder       100        12
       15 Lowndes Drosdick     Orlando          100         1
       16 Conroy Simberg Ganon Hollywood         91         6
       17 Stearns Weaver       Miami             85         3
       18 Wicker Smith O'Hara  Miami             85         6
       19 Rogers Towers Bailey Jacksonvll        80         2
       20 Butler Burnette      Tampa             77         3
       21 Bilzin Sumberg Dunn  Miami             70         1
       22 Morgan Colling       Orlando           70         4
       23 White & Case         Miami             70         1
       24 Fowler White Burnett Miami             64         4
       25 Rissman Weisberg     Orlando           63         3
       26 Rumberger Kirk       Orlando           63         4
