       1 Gates                   53.0      50 married        MedinaWA            Microsoft           
       2 Buffett                 46.0      76 widowed        OmahaNE             Berkshire-Hathaway  
       3 AdelsonS                20.5      73 married        LasVegasNV          gambling            
       4 Ellison                 19.5      62 married        RedwoodCA           Oracle              
       5 Allen                   16.0      53 single         SeattleWA           Microsoft           
       6 WaltonJC                15.7      58 married        BentonvilleAR       Wal-Mart            
       7 WaltonC                 15.6      51 widowed        JacksonWY           Wal-Mart            
       8 WaltonSR                15.6      62 married        BentonvilleAR       Wal-Mart            
       9 Dell                    15.5      41 married        AustinTX            DellComputer        
      10 WaltonAL                15.5      57 divorced       FortWorthTX         Wal-Mart            
      11 WaltonHR                15.3      86 widowed        BentonvilleAR       Wal-Mart            
      12 BrinS                   14.1      23 single         PaloAltoCA          Google              
      13 PageLE                  14.0      33 single         SanFranciscoCA      Google              
      14 TaylorJC                13.9      84 married        StLouisMO           Enterprise          
      15 Ballmer                 13.6      50 married        BellevueWA          Microsoft           
