Jan        304.9   285.4   284.3   265.5   281.7   356.9   414.0   424.2
Feb        297.4   287.1   299.9   261.9   295.5   359.0   405.3   423.4
Mar        301.0   279.5   286.4   263.0   294.0   340.6   406.7   434.2
Apr        310.7   286.6   279.9   260.5   302.7   328.2   403.0   428.9
May        293.6   269.0   275.3   272.4   314.5   355.7   383.4   421.9
Jun        296.3   262.6   285.7   270.2   321.2   356.5   392.0   430.7
Jul        288.9   255.6   281.6   267.5   313.3   351.0   398.1   424.5
Aug        273.4   254.8   274.5   272.4   310.3   359.8   400.5   437.9
Sep        293.9   307.5   273.7   283.4   319.2   378.9   405.3   456.0
Oct        294.0   299.1   270.0   283.1   316.6   378.9   420.5   469.9
Nov        294.7   291.4   266.0   276.2   319.2   389.9   439.4   476.7
Dec        287.8   290.3   271.5   275.9   333.4   407.6   441.7   509.8
