       1     5.3 M       
       2    12.9 M       
       3      .8 M       
       4     2.6 M       
       5    23.5 M       
       6     9.1 M       
       7    11.1 M       
       8     9.5 M       
       9     4.8 M       
       1      .6 T       
       2     9.4 T       
       3      .8 T       
       4      .0 T       
       5     9.6 T       
       6     4.5 T       
       7     4.2 T       
       8     7.1 T       
       9     5.2 T       
       1     1.9 W       
       2     2.6 W       
       3     5.7 W       
       4     4.5 W       
       5    11.3 W       
       6     7.5 W       
       7     4.1 W       
       8     4.5 W       
       9    10.0 W       
       1     1.3 R       
       2      .4 R       
       3      .4 R       
       4    10.2 R       
       5    13.6 R       
       6     2.1 R       
       7     4.2 R       
       8     9.1 R       
       9     6.9 R       
       1     1.6 F       
       2      .5 F       
       3     1.4 F       
       4     4.5 F       
       5    14.1 F       
       6     9.3 F       
       7     4.1 F       
       8    12.9 F       
       9     9.0 F       
