    1970     355
    1971     357
    1972     365
    1973     369
    1974     380
    1975     380
    1976     382
    1977     390
    1978     401
    1979     407
    1980     402
    1981     400
    1982     390
    1983     387
    1984     385
    1985     386
    1986     391
    1987     395
    1988     391
    1989     394
    1990     389
    1991     375
    1992     366
    1993     363
    1994     371
    1995     392
    1996     355
    1997     351
    1998     358
    1999     367
     200     369
    2001     377
    2002     375
    2003     370
