        1         7       6.2       0.1 no    
        2       0.4       5.2       0.1 no    
        3       2.4       4.6       0.6 no    
        4       6.2        13       0.8 yes   
        5       4.7       0.9       0.5 no    
        6       1.3       0.4       0.1 no    
        7       7.3       6.1       0.1 no    
        8       5.6       3.6       3.8 no    
        9       5.5       9.6       0.5 no    
       10       5.3       4.8       0.8 no    
       11         6       2.6       0.1 no    
       12       2.6      11.3         1 no    
       13         2       0.6       0.8 no    
       14       0.4      12.2         1 no    
       15       8.7       2.2       3.7 no    
       16       4.7       9.6       0.1 no    
       17       6.9      12.3       0.2 yes   
       18       0.2       4.2       0.3 no    
       19       5.5       3.5       0.4 no    
       20       2.9       5.3        22 no    
       21       5.9       7.3       1.7 no    
       22       6.2       4.4       0.1 no    
       23       4.1       2.1        30 yes   
       24       5.8       0.6       0.1 no    
       25         5       3.1       2.3 no    
       26       0.6       2.2       0.5 no    
       27         6       1.8       0.2 no    
       28       5.8       0.6       0.5 no    
       29       7.8       7.2       2.2 yes   
       30       3.2       6.9       0.1 no    
       31        11       1.7       3.3 no    
       32       6.2       1.3         2 no    
       33       6.9         6      10.5 yes   
       34       5.4       0.4       8.4 no    
       35         6       7.9       0.4 no    
       36         4       1.8      18.2 yes   
       37       4.5       1.3       0.3 no    
       38       2.2       4.8       0.4 no    
       39       3.5       7.2         7 yes   
       40       0.1       0.9      14.4 no    
       41       2.9       7.7       5.8 no    
       42       5.4       3.8       0.3 no    
       43       6.7       1.3       0.1 no    
       44         2       6.3       9.9 yes   
       45       0.1        12       3.2 no    
       46       6.4       1.3       6.2 no    
       47         4       2.4      13.5 yes   
       48        10       5.3       0.1 no    
       49         8      14.4       1.9 yes   
       50         7        10         2 no    
