Jan      1133.00  104.00  187.75 8656.00  769.60   33.40
Feb      1380.00   98.90  219.92 8400.00  895.80   32.80
Mar      1380.00  105.00  250.85 9268.00  906.00   33.50
Apr      1386.40  111.00  224.55 8901.00  798.60   35.10
May      1520.00  109.00  181.90 9163.00  848.80   31.20
Jun      1520.00  113.00  180.00 9006.00  903.20   33.10
Jul      1532.80  104.00  222.50 9164.00  964.00   33.80
Aug      1800.00  107.00  249.32 9314.00  949.20   36.90
Sep      1800.00  112.00  217.38 9234.00  961.60   36.90
Oct      1800.00  111.00  237.62 9551.00  960.20   36.20
Nov      1800.00  104.00  248.00 8989.00  990.80   34.00
Dec      1800.00  114.00  223.57 8660.00  995.00   33.90
