Alabama            1079    1114    1126
Alaska             1015    1034    1042
Arizona            1041    1044    1056
Arkansas           1077    1117    1115
California         1002    1015    1026
Colorado           1067    1071    1120
Connecticu         1002    1017    1034
Delaware           1006     998    1005
D.C.                950     980     968
Florida             988     998     996
Georgia             951     974     993
Hawaii              985    1007    1006
Idaho              1066    1081    1086
Illinois           1089    1154    1200
Indiana             972     999    1012
Iowa               1172    1189    1204
Kansas             1129    1154    1173
Kentucky           1089    1098    1120
Louisiana          1088    1120    1127
Maine               991    1004    1014
Maryland           1008    1016    1026
Massachuse         1001    1024    1047
Michigan           1063    1126    1147
Minnesota          1110    1175    1189
Mississipp         1090    1111    1118
Missouri           1089    1149    1176
Montana            1082    1089    1080
Nebraska           1121    1131    1153
Nevada             1022    1027    1021
NHampshire         1028    1039    1050
NJersey             993    1011    1020
NMexico            1100    1092    1105
NewYork             985    1000    1018
NCarolina           948     988    1010
NDakota            1157    1197    1195
Ohio               1048    1072    1082
Oklahoma           1095    1123    1133
Oregon             1024    1054    1054
Pennsylvan          987     995    1004
RIsland             986    1005    1008
SCarolina           942     966     993
SDakota            1150    1175    1178
Tennessee          1102    1116    1135
Texas               979     993     995
Utah               1121    1139    1123
Vermont            1000    1021    1038
Virginia            997    1009    1030
Washington         1024    1054    1066
WestVA             1034    1037    1034
Wisconsin          1111    1181    1191
Wyoming            1072    1090    1087
