          1 No  No    .0000034   .0000033     .   
          2 Yes No    .0320000  1.0000000    2.10
          3 Yes No    .0300000  1.3000000    1.80
          4 Yes No    .0940000  3.0000000    2.60
          5 Yes No    .0460000  1.5000000    1.40
          6 Yes No    .0280000  1.3000000    1.70
          7 No  Yes   .2700000 22.9000000   20.50
          8 No  Yes   .1900000 21.0000000   23.20
          9 No  Yes   .4200000 34.4000000   30.70
         10 No  Yes   .5700000 29.8000000   30.60
         11 No  Yes   .3200000 17.7000000   16.40
