Adventure Of The Seas         Royal Caribbean International                 95
Albatross                     Unicom Mgt Services, Ltd                      96
Amsterdam                     Holland America Line                          98
Arabella                      Classic Cruises Of Newport                    94
Arcadia                       P & O Cruises                                 98
Artemis                       P & O Cruises                                 92
Asuka                         NYK Cruises Co., LTD                          91
Aurora                        P & O Cruises                                 98
Bremen                        Hapag Lloyd Kreuzfahrten Gmbh                 95
Brilliance Of The Seas        Royal Caribbean International                 98
C. Columbus                   Hapag Lloyd Kreuzfahrten Gmbh                 95
Caribbean Express             Ferries Del Caribe                            95
Caribbean Princess            Princess Cruises                              99
Carnival Conquest             Carnival Cruise Lines, Inc.                   98
Carnival Destiny              Carnival Cruise Lines, Inc.                   97
Carnival Glory                Carnival Cruise Lines, Inc.                   97
Carnival Legend               Carnival Cruise Lines, Inc.                   98
Carnival Liberty              Carnival Cruise Lines, Inc.                   94
Carnival Miracle              Carnival Cruise Lines, Inc.                  100
Carnival Pride                Carnival Cruise Lines, Inc.                   95
Carnival Spirit               Carnival Cruise Lines, Inc.                   97
Carnival Triumph              Carnival Cruise Lines, Inc.                   97
Carnival Valor                Carnival Cruise Lines, Inc.                   96
Carnival Victory              Carnival Cruise Lines, Inc.                   99
Celebration                   Carnival Cruise Lines, Inc.                   96
Century                       Celebrity Cruises                            100
Clipper Adventurer            Clipper Cruise Line/Intrav Inc.               96
Clipper Odyssey               Clipper Cruise Line/Intrav Inc.               96
Club Med 2                    Services Et Transports Cruise                 95
Constellation                 Celebrity Cruises                             97
Coral Princess                Princess Cruises                              97
Costa Allegra                 Costa Cruises                                 98
Costa Atlantica               Costa Cruises                                100
Costa Magica                  Costa Cruises                                 98
Costa Mediterranea            Costa Cruises                                100
Crystal Serenity              Crystal Cruises , Inc.                       100
Crystal Symphony              Crystal Cruises , Inc.                        98
Dawn Princess                 Princess Cruises                              95
Deutschland                   Peter Deilmann Cruises                        93
Diamond Princess              Princess Cruises                              96
Discovery Sun                 Discovery Cruise Line                         94
Disney Magic                  Disney Cruise Lines                           98
Disney Wonder                 Disney Cruise Lines                           98
Ecstasy                       Carnival Cruise Lines, Inc.                   98
Elation                       Carnival Cruise Lines, Inc.                   99
Empress Of The North          American West Steamboat Company               87
Empress Of The Seas           Royal Caribbean International                 94
Enchantment Of The Seas       Royal Caribbean International                 95
Europa                        Hapag Lloyd Kreuzfahrten Gmbh                 94
Explorer Of The Seas          Royal Caribbean International                 96
Fantasy                       Carnival Cruise Lines, Inc.                   96
Fascination                   Carnival Cruise Lines, Inc.                   98
Freedom Of The Seas           Aker Finnyards                                95
Fuji Maru                     Mitsui O.s.k. Passenger Line, Ltd             91
Galaxy                        Celebrity Cruises                             98
Golden Princess               Princess Cruises                             100
Grand Princess                Princess Cruises                              97
Grande Caribe                 American Canadian Caribbean Line, Inc.        88
Grande Mariner                American Canadian Caribbean Line, Inc.        89
Grandeur Of The Seas          Royal Caribbean International                 96
Hanseatic                     Hapag Lloyd Kreuzfahrten Gmbh                 95
Holiday                       Carnival Cruise Lines, Inc.                   86
Horizon                       Celebrity Cruises                             93
Imagination                   Carnival Cruise Lines, Inc.                   97
Infinity                      Celebrity Cruises                             98
Inspiration                   Carnival Cruise Lines, Inc.                   92
Island Adventure              New Sea Escape Cruises, Ltd.                  92
Island Princess               Princess Cruises                             100
Jewel Of The Seas             Royal Caribbean International                100
Jubilee                       Carnival Cruise Lines, Inc.                   90
Legacy                        Windjammer Barefoot Cruises /Internation      72
Legend Of The Seas            Royal Caribbean International                 96
Maasdam                       Holland America Line                          93
Majesty Of The Seas           Royal Caribbean International                 96
Mariner Of The Seas           Royal Caribbean International                 98
Maxim Gorkiy                  Unicom Mgt Services, Ltd                      91
Mercury                       Celebrity Cruises                             99
Millennium                    Celebrity Cruises                            100
Minerva II                    Swan Hellenic Cruises /V-Ships Leisure S      91
Mona Lisa                     Kyma Ship Management, Inc.                    92
Monarch Of The Seas           Royal Caribbean International                 93
MSC Lirica                    MSC Cruises (Mediterranean Shipping Comp      99
MSC Opera                     MSC Cruises (Mediterranean Shipping Comp      99
MV Delphin Renaissance        Delphin Seereisen                             97
MV Discovery                  Discovery World Cruises                       89
MV Explorer                   V. Ships Leisure USA                          98
Nantucket Clipper             Cruise West D.B.A. West Travel Inc.           91
Nautilus Explorer             Lever Diving                                  78
Navigator Of The Seas         Royal Caribbean International                 92
Niagra Prince                 American Canadian Caribbean Line, Inc.        92
Nippon Maru                   Mitsui O.s.k. Passenger Line, Ltd             96
Noordam                       Holland America Line                          96
Norwegian Crown               Norwegian Cruise Lines                        93
Norwegian Dawn                Norwegian Cruise Lines                        99
Norwegian Dream               Norwegian Cruise Lines                        95
Norwegian Jewel               Norwegian Cruise Lines                        97
Norwegian Majesty             Norwegian Cruise Lines                        95
Norwegian Spirit              Norwegian Cruise Lines                        98
Norwegian Star                Norwegian Cruise Lines                        99
Norwegian Sun                 Norwegian Cruise Lines                       100
Norwegian Wind                Norwegian Cruise Lines                        97
Oceana                        P & O Cruises                                 98
Oosterdam                     Holland America Line                          97
Oriana                        P & O Cruises                                100
Orion                         Travel Dynamics International                 88
Pacific                       Pullmantur Ship Mangement LTD                 90
Pacific Princess              Princess Cruises                              97
Pacific Venus                 Japan Cruise Line, Inc                        94
Palm Beach Princess           Palm Beach Cruises                            92
Paradise                      Carnival Cruise Lines, Inc.                   95
Prinsendam                    Holland America Line                          88
Queen Elizabeth 2             Cunard Line                                   92
Queen Mary 2                  Cunard Line                                   95
Radiance Of The Seas          Royal Caribbean International                 95
Radisson Diamond              Radisson Seven Seas Cruises                   97
Regal Empress                 Imperial Majesty Cruise Line                  96
Regal Princess                Princess Cruises                              90
Regatta                       Oceania Cruises                               99
Regatta                       Oceania Cruises                               99
Rhapsody Of The Seas          Royal Caribbean International                 98
Rotterdam                     Holland America Line                          98
Royal Princess                Princess Cruises                              93
Ryndam                        Holland America Line                          92
Safari Quest                  American Safari Cruises                       87
SagaRuby                      Saga Shipping Company, Ltd                    88
Sapphire Princess             Princess Cruises                              99
Scotia Prince                 Prince Of Fundy Cruises                       96
Sea Bird                      Lindblad Expeditions                          84
Sea Lion                      Lindblad Expeditions                          86
Sea Princess                  Princess Cruises                              93
Seabourn Legend               Seabourn Cruise Line                          91
Seabourn Pride                Seabourn Cruise Line                          99
Seadream I                    Sea Dream Yacht Club                          92
Seadream II                   Sea Dream Yacht Club                          99
Seadream II                   Sea Dream Yacht Club                          99
Sensation                     Carnival Cruise Lines, Inc.                   94
Serenade Of The Seas          Royal Caribbean International                100
Seven Seas Mariner            Radisson Seven Seas Cruises                  100
Seven Seas Navigator          Radisson Seven Seas Cruises                   99
Seven Seas Voyager            Radisson Seven Seas Cruises                   93
Silver Shadow                 Silversea Cruises LTD                         97
Silver Whisper                Silversea Cruises LTD                         97
Silver Wind                   Silversea Cruises LTD                         95
Sovereign Of The Seas         Royal Caribbean International                 95
Spirit Of Columbia            Cruise West D.B.A. West Travel Inc.           94
Spirit Of Endeavor            Cruise West D.B.A. West Travel Inc.           90
Spirit Of Oceanus             Cruise West D.B.A. West Travel Inc.           95
Splendour Of The Seas         Royal Caribbean International                 98
Stad Amsterdam                Stad Amsterdam                                62
Star Princess                 Princess Cruises                              99
Statendam                     Holland America Line                          95
Summit                        Celebrity Cruises                             94
Sun Princess                  Princess Cruises                              97
Tahitian Princess             Princess Cruises                              96
Texas Treasure 1              Corpus Christi Day Cruise LTD                 95
The World                     Residensea                                    97
TSS Topaz                     Kyma Ship Management, Inc.                    93
Veendam                       Holland America Line                          98
Vision Of The Seas            Royal Caribbean International                 96
Vistamar                      Hotel Playaventura S.l. /Vistamar Canari      86
Volendam                      Holland America Line                          96
Voyager Of The Seas           Royal Caribbean International                 96
Westerdam                     Holland America Line                          95
Wind Spirit                   Wind Star Sail Cruises                        98
Wind Surf                     Wind Star Sail Cruises                        95
Yorktown Clipper              Cruise West D.B.A. West Travel Inc.           91
Zaandam                       Holland America Line                          98
Zenith                        Celebrity Cruises                             94
Zuiderdam                     Holland America Line                          94
