DEFECT  VG     EVG     IVG     LOC
false   no      no      no      no      
true    no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   yes     no      yes     yes     
false   no      no      no      no      
false   yes     yes     yes     yes     
false   yes     no      yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      yes     
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      yes     yes     
false   yes     no      yes     yes     
false   no      no      no      no      
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     yes     yes     yes     
false   yes     no      yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     no      no      yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   yes     yes     yes     yes     
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
false   no      no      no      no      
