A            .09      39
B            .02      18
C            .02      30
D            .04      30
E            .12      31
F            .02      21
G            .03      35
H            .02      21
I            .09      25
J            .01      17
K            .01      27
L            .04      18
M            .02      31
N            .06      36
O            .08      20
P            .02      27
Q            .01      13
R            .06      27
S            .04      29
T            .06      27
U            .04      21
V            .02      33
W            .02      29
X            .01      15
Y            .02      32
Z            .01      14
#blank       .02      34
