       1 Meg Whitman                         49 eBay                           CEO/Chairman          1
       2 Anne Mulcahy                        52 Xerox                          CEO/Chairman          1
       3 Brenda Barnes                       51 Sara Lee                       CEO/President         1
       4 Oprah Winfrey                       51 Harpo                          Chairman              2
       5 Andrea Jung                         47 Avon                           CEO/Chairman          1
       6 Pat Woertz                          52 Chevron                        EVP                   3
       7 Sallie Krawcheck                    40 Citigroup                      CFO                   2
       8 Abigail Johnson                     43 Fidelity                       President             2
       9 Karen Katen                         56 Pfizer                         Vice Chair            3
      10 Judy McGrath                        52 Viacom                         CEO/Chairman          1
      11 Indra Nooyi                         49 PepsiCo                        CFO/President         1
      12 Christine Poon                      53 Johnson & Johnson              Vice Chair            3
      13 Ann Moore                           55 Time Inc.                      CEO/Chairman          1
      14 Pat Russo                           53 Lucent Technologies            CEO/Chairman          1
      15 Ginni Rometty                       48 IBM                            SVP                   3
      16 Anne Sweeney                        47 Walt Disney                    President             2
      17 Susan Arnold                        51 Procter & Gamble               Vice Chair            3
      18 Ann Livermore                       47 Hewlett-Packard                EVP                   3
      19 Zoe Cruz                            50 Morgan Stanley                 President             2
      20 Charlene Begley                     39 General Electric               CEO/President         1
      21 Martha Stewart                      64 Martha Stewart Living Omnimedi Founder               4
      22 Anne Stevens                        56 Ford Motor                     COO                   2
      23 Susan Desmond-Hellmann              48 Genentech                      President             2
      24 Susan Ivey                          46 Reynolds American              CEO/President         1
      25 Amy Woods Brinkley                  49 Bank of America                CRO                   2
      26 Shelly Lazarus                      58 WPP                            CEO/Chairman          1
      27 Irene Rosenfeld                     52 PepsiCo                        CEO/Chairman          1
      28 Heidi Miller                        51 J.P. Morgan Chase              CEO                   2
      29 Linda Dillman                       49 Wal-Mart                       CIO/EVP               2
      30 Mary Minnick                        45 Coca-Cola                      EVP                   3
      31 Carol Bartz                         57 Autodesk                       CEO/Chairman          1
      32 Doreen Toben                        55 Verizon                        CFO                   2
      33 Stacey Snider                       44 GE                             Chairman              2
      34 Cathleen Black                      61 Hearst Magazines               President             2
      35 Lisa Weber                          42 MetLife                        President             2
      36 Lois Quam                           44 United Health Group            CEO                   2
      37 Carrie Cox                          48 Schering-Plough                EVP                   3
      38 Nancy Peretsman                     51 Allen & Co.                    EVP                   3
      39 Mary Sammons                        59 Rite Aid                       CEO/President         1
      40 Susan Decker                        42 Yahoo                          CFO/EVP               2
      41 Dawn Hudson                         47 PepsiCo                        CEO/President         1
      42 Amy Pascal                          47 Sony                           Vice Chair            3
      43 Claire Watts                        45 Wal-Mart                       EVP                   3
      44 Vivian Banta                        55 Prudential Financial           Vice Chair            3
      45 Ellyn McColgan                      51 Fidelity                       President             2
      46 Ellen Kullman                       49 DuPont                         Vice Chair            3
      47 Barbara Desoer                      53 Bank of America                Executive             4
      48 Ursula Burns                        47 Xerox                          SVP                   3
      49 Safra Catz                          43 Oracle                         President             2
      50 Kathy Cassidy                       51 General Electric               Treasurer             4
