Goodes    	Warner-Lambert	        11	85
Choate    	Allstate	        10.1	83
Gifford   	BankBoston	        20	82
Golub	        AmericanExpress	        21.1	79
Welch     	GeneralElectric	        3.8	77
Gerstner  	IBM	                13.1	75
O'Brien   	PNCBank	                7.1	74
Shipley   	ChaseManhattan	        17.2	73
Reed      	Citicorp	        13	72
Murray	        FleetFinancial	        10.1	67
Esrey     	Sprint	                10.1	66
McColl    	Nationsbank	        11	64
Cayne     	BearStearns	        12.6	64
Stafford  	AmerHomeProducts        10.9	58
McCoy     	BancOne	                7.6	58
Herringer 	Transamerica	        10.6	55
Larsen    	Johnson&Johnson	        16.1	54
Hazen	        WellsFargo	        10.9	54
Bossidy   	AlliedSignal	        12.6	51
Shoemate  	Bestfoods	        17.6	49
Perrella  	Ingersoll-Rand	        12.8	49
Stiritz   	RalstonPurina	        13	48
Burnham   	AbbottLabs	        15.6	46
Notebaert 	Ameritech	        19.2	45
Smith     	BellAtlantic	        13.7	44
Buffett   	BerkshireHathaway	22	43
Fites     	Caterpillar	        18.6	41
Louckes   	BaxterInternational	11.9	40
Bonsignore	Honeywell	        22	38
Whitacre  	SBCComm.	        10	37
Bijur     	Texaco	                27.1	35
Bowlin    	AtlanticRichfield	16.6	35
Fuller	        Amoco	                8	33
Irani     	OccidentalPetrol	15.5	31
Lee       	GTE	                14.8	29
Snow      	CSX	                12.8	29
Condit    	Boeing	                24.2	25
Gorman    	TRW	                18.1	24
Riley     	CooperIndustries	18	22
Priory    	DukeEnergy	        10	22
Tollett   	TysonFoods	        16	20
Ranck     	Browning-Ferris	        23	15
Joyce     	UnionCarbide	        19	13
Capps     	DominionResources	18	12
McNealy   	SunMicrosystems	        3.2	97
Gates     	Microsoft	        23.9	95
Weill     	TravelersGroup	        18	95
Cahouet   	MellonBank	        22	92
Steere    	Pfizer	                34	89
Marron    	Painewebber	        25	89
Galvin    	Motorola	        11.7	3


