OBS,data,Open,High,Low,Close,Volume,return
1,9/27/2000,63.4375,63.5625,59.8125,60.625,53077800,NA
2,9/28/2000,60.8125,61.875,60.625,61.3125,26180200,-0.4897
3,9/29/2000,61,61.3125,58.625,60.3125,37026800,0.7142
4,10/2/2000,60.5,60.8125,58.25,59.125,29281200,0.8636
5,10/3/2000,59.5625,59.8125,56.5,56.5625,42687000,1.9243
6,10/4/2000,56.375,56.5625,54.5,55.4375,68226700,0.8725
7,10/5/2000,55.5,57.25,55.25,55.375,40549700,0.0490
8,10/6/2000,55.8125,56.75,54.75,55.5625,30897000,-0.1468
9,10/9/2000,55.625,55.75,53,54.1875,29161800,1.0883
10,10/10/2000,53.9375,55.5625,53.8125,54.5625,31033100,-0.2995
11,10/11/2000,54,56.9375,54,55.75,50602900,-0.9351
12,10/12/2000,56.3125,56.875,53.8125,54.375,45109800,1.0846
13,10/13/2000,53.875,54.875,52.125,53.75,52260600,0.5021
14,10/16/2000,53.5,53.8125,49.5625,50.375,59879500,2.8163
15,10/17/2000,51.875,52.4375,50.25,50.4375,40638300,-0.0538
16,10/18/2000,49.625,53.25,48.4375,51.75,55268200,-1.1157
17,10/19/2000,58.4375,62.1875,58,61.875,128496600,-7.7605
18,10/20/2000,61.3125,66.125,61.125,65.1875,80189300,-2.2649
19,10/23/2000,64.625,66.25,60.6875,62.125,92585200,2.0898
20,10/24/2000,62.625,62.9375,60.1875,61.5,47213700,0.4391
21,10/25/2000,61.9375,63.4375,60.4375,61.25,83801900,0.1769
22,10/26/2000,61,65.0625,60.8125,64.4375,57413300,-2.2033
23,10/27/2000,64.6875,69.1875,64.625,67.6875,62146200,-2.1370
24,10/30/2000,67.5,70.125,67.375,69.0625,55028800,-0.8734
25,10/31/2000,69,69.5,68,68.875,52237000,0.1181
26,11/1/2000,68.5,70.0625,68.4375,69.625,40654700,-0.4704
27,11/2/2000,70.375,70.8438,69.625,70.3125,38992600,-0.4267
28,11/3/2000,69.25,69.625,68.0625,68.25,34355500,1.2930
29,11/6/2000,68.6875,70.125,68.25,69.5,37425700,-0.7882
30,11/7/2000,69.75,71.875,69.5,70.5,52165600,-0.6204
31,11/8/2000,71.125,72.375,68,69.4375,103074700,0.6595
32,11/9/2000,68.5,71.3125,68.4375,70.875,45529300,-0.8899
33,11/10/2000,69.9375,70.3125,66.8125,67.375,46872200,2.1994
34,11/13/2000,66.6875,68.125,64.4062,66.4375,41682400,0.6085
35,11/14/2000,68,69.8125,67.3125,68.8125,42109300,-1.5254
36,11/15/2000,69.0625,70.875,68.6875,70.0625,30211100,-0.7818
37,11/16/2000,69.4375,71.5,68.9375,68.9375,46064300,0.7030
38,11/17/2000,69.4375,70,67.7969,69.0625,53262800,-0.0787
39,11/20/2000,68.125,68.5,65.5625,67.1875,40078600,1.1954
40,11/21/2000,67.375,69.25,67.375,67.75,29743800,-0.3621
41,11/22/2000,66.0625,69.5,66,68.25,38171600,-0.3193
42,11/24/2000,69,70.4375,68.5,69.9375,17219600,-1.0607
