Year	Month	Deviations
1880	1	-0.3037
1880	2	-0.7804
1880	3	-0.8062
1880	4	-0.466
1880	5	-0.3201
1880	6	-0.3197
1880	7	-0.4263
1880	8	-0.3135
1880	9	-0.3816
1880	10	-0.8412
1880	11	-0.856
1880	12	-0.5494
1881	1	-0.2482
1881	2	-0.5488
1881	3	-0.1386
1881	4	-0.0944
1881	5	-0.1618
1881	6	-0.4205
1881	7	-0.2299
1881	8	-0.0685
1881	9	-0.5511
1881	10	-0.8172
1881	11	-1.1654
1881	12	-0.5303
1882	1	0.1634
1882	2	-0.2552
1882	3	-0.2223
1882	4	-0.7296
1882	5	-0.4323
1882	6	-0.5516
1882	7	-0.3798
1882	8	0.0357
1882	9	-0.1973
1882	10	-0.9551
1882	11	-0.5121
1882	12	-0.6984
1883	1	-1.2476
1883	2	-1.415
1883	3	-0.5254
1883	4	-0.634
1883	5	-0.2899
1883	6	-0.0616
1883	7	-0.3931
1883	8	-0.2488
1883	9	-0.2779
1883	10	-0.4918
1883	11	-0.7004
1883	12	-0.1878
1884	1	-0.2934
1884	2	-0.7051
1884	3	-0.929
1884	4	-0.8768
1884	5	-0.5674
1884	6	-0.451
1884	7	-0.5014
1884	8	-0.6814
1884	9	-0.654
1884	10	-0.4288
1884	11	-0.8264
1884	12	-0.4337
1885	1	-1.3085
1885	2	-0.748
1885	3	-0.1928
1885	4	-0.6425
1885	5	-0.6331
1885	6	-0.4951
1885	7	-0.3681
1885	8	-0.5975
1885	9	-0.4231
1885	10	-0.4239
1885	11	-0.2518
1885	12	0.2306
1886	1	-0.4447
1886	2	-1.0408
1886	3	-0.7642
1886	4	-0.3856
1886	5	-0.3241
1886	6	-0.314
1886	7	-0.1353
1886	8	-0.2136
1886	9	-0.3568
1886	10	-0.5753
1886	11	-0.5983
1886	12	0.1727
1887	1	-1.083
1887	2	-0.8249
1887	3	-0.2115
1887	4	-0.2448
1887	5	-0.1197
1887	6	-0.3847
1887	7	-0.406
1887	8	-0.4816
1887	9	-0.0522
1887	10	-0.5319
1887	11	-0.1366
1887	12	-0.1666
1888	1	-0.8966
1888	2	-0.8781
1888	3	-0.6887
1888	4	-0.2126
1888	5	-0.5611
1888	6	-0.4736
1888	7	-0.0745
1888	8	-0.3975
1888	9	-0.1183
1888	10	-0.0357
1888	11	-0.57
1888	12	-0.1847
1889	1	-0.7311
1889	2	-0.2137
1889	3	0.0138
1889	4	0.0576
1889	5	-0.3089
1889	6	-0.2539
1889	7	-0.2481
1889	8	-0.1493
1889	9	-0.4874
1889	10	-0.4282
1889	11	-0.9244
1889	12	-0.26
1890	1	-0.574
1890	2	-0.7474
1890	3	-0.4438
1890	4	-0.1498
1890	5	-0.6199
1890	6	-0.3486
1890	7	0.0264
1890	8	-0.2285
1890	9	-0.3001
1890	10	-0.2643
1890	11	-0.6117
1890	12	-0.2849
1891	1	-0.7341
1891	2	-1.3073
1891	3	-0.4216
1891	4	-0.5824
1891	5	-0.3812
1891	6	-0.4906
1891	7	-0.2776
1891	8	-0.2092
1891	9	-0.1326
1891	10	-0.5356
1891	11	-0.8185
1891	12	0.1828
1892	1	-0.6366
1892	2	-0.3699
1892	3	-0.793
1892	4	-0.5441
1892	5	-0.4228
1892	6	-0.2734
1892	7	-0.285
1892	8	-0.2929
1892	9	0.0091
1892	10	0.0466
1892	11	-1.0622
1892	12	-0.6215
1893	1	-1.685
1893	2	-1.5221
1893	3	-0.0719
1893	4	-0.2941
1893	5	-0.5687
1893	6	-0.1373
1893	7	-0.1128
1893	8	-0.3948
1893	9	-0.2341
1893	10	-0.2292
1893	11	-0.0541
1893	12	-0.1863
1894	1	-0.8978
1894	2	0.0528
1894	3	0.1162
1894	4	-0.678
1894	5	-0.2946
1894	6	-0.4962
1894	7	-0.1884
1894	8	-0.2288
1894	9	-0.4264
1894	10	-0.2348
1894	11	-0.4943
1894	12	-0.3057
1895	1	-1.2387
1895	2	-0.8785
1895	3	-0.1844
1895	4	0.086
1895	5	-0.221
1895	6	-0.4103
1895	7	-0.1898
1895	8	-0.2321
1895	9	-0.0692
1895	10	-0.3101
1895	11	-0.3061
1895	12	-0.1848
1896	1	-0.1304
1896	2	-0.0685
1896	3	-0.5975
1896	4	-0.8518
1896	5	-0.1777
1896	6	-0.0361
1896	7	-0.1406
1896	8	-0.046
1896	9	-0.1615
1896	10	0.0713
1896	11	-0.6574
1896	12	-0.1203
1897	1	-0.7233
1897	2	-0.4269
1897	3	-1.0143
1897	4	-0.0863
1897	5	-0.066
1897	6	-0.2713
1897	7	-0.0126
1897	8	-0.1036
1897	9	0.1539
1897	10	-0.2482
1897	11	-0.3676
1897	12	-0.3103
1898	1	0.3816
1898	2	-0.4109
1898	3	-1.3647
1898	4	-0.3942
1898	5	-0.4841
1898	6	-0.1593
1898	7	-0.336
1898	8	-0.1761
1898	9	-0.3236
1898	10	-0.5219
1898	11	-0.3477
1898	12	0.4063
1899	1	0.1315
1899	2	-0.5858
1899	3	-0.3377
1899	4	-0.1582
1899	5	-0.1012
1899	6	-0.4097
1899	7	-0.1962
1899	8	-0.0769
1899	9	0.0424
1899	10	0.0344
1899	11	0.6524
1899	12	-0.6044
1900	1	-0.9943
1900	2	-0.3186
1900	3	0.0577
1900	4	-0.3391
1900	5	0.1236
1900	6	0.1239
1900	7	-0.0212
1900	8	0.0106
1900	9	-0.0171
1900	10	0.2193
1900	11	-0.2413
1900	12	0.2403
1901	1	-0.4671
1901	2	0.0668
1901	3	0.4805
1901	4	0.1705
1901	5	0.0836
1901	6	0.03
1901	7	0.1359
1901	8	0.0958
1901	9	-0.026
1901	10	-0.3716
1901	11	0.2223
