Player,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Monta Ellis,25,GSW,80,80,3227,40.3,726,1611,0.451,137,379,0.361,340,431,0.789,44,237,281,450,168,23,252,203,1929
Rudy Gay,24,MEM,54,54,2152,39.9,409,869,0.471,57,144,0.396,194,241,0.805,82,254,336,153,91,58,135,131,1069
LaMarcus Aldridge,25,POR,81,81,3211,39.6,707,1415,0.5,4,23,0.174,351,444,0.791,278,431,709,170,82,94,153,220,1769
Luol Deng,25,CHI,82,82,3208,39.1,531,1155,0.46,115,333,0.345,253,336,0.753,116,360,476,230,78,48,156,162,1430
Kevin Durant,22,OKC,78,78,3038,38.9,711,1538,0.462,145,414,0.35,594,675,0.88,57,476,533,214,88,76,218,159,2161
LeBron James,26,MIA,79,79,3063,38.8,758,1485,0.51,92,279,0.33,503,663,0.759,80,510,590,554,124,50,284,163,2111
Dorell Wright,25,GSW,82,82,3147,38.4,485,1146,0.423,194,516,0.376,180,228,0.789,88,343,431,242,124,63,133,171,1344
Blake Griffin,21,LAC,82,82,3112,38,696,1376,0.506,7,24,0.292,446,695,0.642,270,719,989,312,63,45,223,252,1845
Deron Williams,26,UTA,65,65,2465,37.9,428,975,0.439,105,317,0.331,348,412,0.845,40,220,260,667,79,15,230,190,1309
Gerald Wallace,28,CHA,71,63,2693,37.9,386,851,0.454,62,186,0.333,279,374,0.746,111,458,569,173,105,63,152,183,1113
John Wall,20,WAS,69,64,2606,37.8,398,972,0.409,34,115,0.296,301,393,0.766,35,282,317,574,121,35,261,175,1131
Eric Gordon,22,LAC,56,56,2112,37.7,427,949,0.45,106,291,0.364,287,348,0.825,45,119,164,244,71,18,151,115,1247
Dwight Howard,25,ORL,78,78,2935,37.6,619,1044,0.593,0,7,0,546,916,0.596,309,789,1098,107,107,186,279,258,1784
Derrick Rose,22,CHI,81,81,3026,37.4,711,1597,0.445,128,385,0.332,476,555,0.858,81,249,330,623,85,51,278,136,2026
Dwyane Wade,29,MIA,76,76,2824,37.2,692,1384,0.5,63,206,0.306,494,652,0.758,123,362,485,346,111,87,237,197,1941
Rajon Rondo,24,BOS,68,68,2527,37.2,318,670,0.475,10,43,0.233,75,132,0.568,87,210,297,760,153,11,234,120,721
Pau Gasol,30,LAL,82,82,3037,37,593,1120,0.529,1,3,0.333,354,430,0.823,268,568,836,273,48,130,142,203,1541
Tyreke Evans,21,SAC,57,53,2107,37,382,933,0.409,43,148,0.291,205,266,0.771,46,229,275,319,85,30,184,143,1012
Andre Iguodala,27,PHI,67,67,2469,36.9,338,759,0.445,61,181,0.337,208,300,0.693,61,326,387,422,101,38,138,109,945
Amare Stoudemire,28,NYK,78,78,2870,36.8,744,1482,0.502,10,23,0.435,473,597,0.792,198,438,636,202,71,150,250,274,1971
Raymond Felton,26,NYK,75,54,2737,36.5,427,1005,0.425,116,329,0.353,194,241,0.805,48,221,269,625,125,11,221,150,1164
Chris Bosh,26,MIA,77,77,2795,36.3,524,1056,0.496,6,25,0.24,384,471,0.815,141,500,641,144,59,49,138,172,1438
Zach Randolph,29,MEM,75,74,2724,36.3,598,1188,0.503,8,43,0.186,300,396,0.758,326,588,914,163,63,25,151,175,1504
David Lee,27,GSW,73,73,2634,36.1,496,978,0.507,1,3,0.333,210,267,0.787,217,497,714,233,74,31,170,211,1203
Ray Allen,35,BOS,80,80,2890,36.1,480,978,0.491,168,378,0.444,193,219,0.881,51,223,274,219,77,16,117,147,1321
Chris Paul,25,NOH,80,80,2880,36,430,928,0.463,71,183,0.388,337,384,0.878,38,289,327,782,188,5,177,196,1268
Al Jefferson,26,UTA,82,82,2940,35.9,654,1319,0.496,0,0,,220,289,0.761,235,559,794,149,46,153,105,238,1528
Stephen Jackson,32,CHA,67,67,2405,35.9,435,1059,0.411,121,359,0.337,249,305,0.816,53,251,304,241,80,28,209,161,1240
Kevin Love,22,MIN,73,73,2611,35.8,482,1026,0.47,88,211,0.417,424,499,0.85,330,782,1112,184,45,28,155,148,1476
Andrea Bargnani,25,TOR,66,66,2353,35.7,525,1173,0.448,77,223,0.345,287,350,0.82,74,269,343,119,34,46,152,160,1414
Carmelo Anthony,26,DEN,77,77,2751,35.7,684,1503,0.455,95,251,0.378,507,605,0.838,118,445,563,221,68,46,206,224,1970
Joe Johnson,29,ATL,72,72,2554,35.5,514,1161,0.443,89,300,0.297,195,243,0.802,59,232,291,338,47,7,146,131,1312
Mike Conley,23,MEM,81,81,2872,35.5,423,953,0.444,80,217,0.369,181,247,0.733,32,215,247,528,144,18,176,182,1107
Jrue Holiday,20,PHI,82,82,2901,35.4,446,999,0.446,81,222,0.365,172,209,0.823,68,264,332,530,120,29,218,203,1145
Andrew Bogut,26,MIL,65,65,2297,35.3,367,742,0.495,0,4,0,96,217,0.442,199,521,720,131,47,168,125,217,830
Brook Lopez,22,NJN,82,82,2889,35.2,644,1309,0.492,0,1,0,385,489,0.787,197,291,488,129,47,120,176,240,1673
Al Horford,24,ATL,77,77,2704,35.1,513,921,0.557,2,4,0.5,150,188,0.798,182,536,718,266,59,80,119,193,1178
Danny Granger,27,IND,79,79,2763,35,535,1260,0.425,157,407,0.386,395,466,0.848,87,338,425,203,89,62,206,213,1622
David West,30,NOH,70,70,2451,35,528,1040,0.508,2,9,0.222,264,327,0.807,155,374,529,164,67,62,142,202,1322
John Salmons,31,MIL,73,70,2554,35,373,898,0.415,83,219,0.379,195,240,0.813,27,239,266,252,72,28,137,157,1024
DeMar DeRozan,21,TOR,82,82,2851,34.8,539,1154,0.467,5,52,0.096,327,402,0.813,75,240,315,148,85,31,144,217,1410
Elton Brand,31,PHI,81,81,2809,34.7,502,981,0.512,0,1,0,213,273,0.78,237,439,676,120,92,106,101,244,1217
Paul Pierce,33,BOS,80,80,2774,34.7,507,1021,0.497,111,297,0.374,386,449,0.86,34,396,430,260,80,51,171,231,1511
Russell Westbrook,22,OKC,82,82,2847,34.7,614,1390,0.442,34,103,0.33,531,631,0.842,121,258,379,670,155,30,316,207,1793
Trevor Ariza,25,NOH,75,75,2600,34.7,303,762,0.398,82,271,0.303,138,197,0.701,61,347,408,162,120,31,118,180,826
Beno Udrih,28,SAC,79,64,2734,34.6,412,824,0.5,65,182,0.357,197,228,0.864,41,224,265,386,94,9,141,181,1086
Brandon Jennings,21,MIL,63,61,2169,34.4,361,926,0.39,98,303,0.323,199,246,0.809,42,192,234,305,95,21,146,131,1019
Josh Smith,25,ATL,77,77,2645,34.4,497,1041,0.477,51,154,0.331,229,316,0.725,134,523,657,255,99,120,197,217,1274
Dirk Nowitzki,32,DAL,73,73,2504,34.3,610,1179,0.517,66,168,0.393,395,443,0.892,50,463,513,190,38,47,137,172,1681
Paul Millsap,25,UTA,76,76,2605,34.3,525,988,0.531,9,23,0.391,256,338,0.757,164,415,579,187,103,69,145,272,1315
Kyle Lowry,24,HOU,75,71,2563,34.2,345,809,0.426,129,343,0.376,192,251,0.765,89,220,309,500,102,23,158,207,1011
Andray Blatche,24,WAS,64,63,2172,33.9,426,957,0.445,4,18,0.222,220,283,0.777,183,343,526,144,98,51,172,182,1076
Boris Diaw,28,CHA,82,82,2778,33.9,381,774,0.492,78,226,0.345,84,123,0.683,105,309,414,337,74,46,166,190,924
Danilo Gallinari,22,NYK,62,60,2104,33.9,265,640,0.414,103,293,0.352,337,391,0.862,59,246,305,104,51,27,83,144,970
Jason Richardson,30,ORL,80,80,2715,33.9,472,1056,0.447,189,479,0.395,116,159,0.73,67,264,331,147,93,13,95,162,1249
Kobe Bryant,32,LAL,82,82,2779,33.9,740,1639,0.451,115,356,0.323,483,583,0.828,83,336,419,388,99,12,243,172,2078
Arron Afflalo,25,DEN,69,69,2324,33.7,312,627,0.498,105,248,0.423,138,163,0.847,45,206,251,168,34,31,71,153,867
D.J. Augustin,23,CHA,82,82,2757,33.6,399,958,0.416,111,333,0.333,269,297,0.906,38,187,225,498,54,3,155,152,1178
Stephen Curry,22,GSW,74,74,2489,33.6,505,1053,0.48,151,342,0.442,212,227,0.934,52,234,286,432,109,20,226,233,1373
Wesley Matthews,24,POR,82,69,2758,33.6,440,979,0.449,154,378,0.407,266,315,0.844,48,210,258,164,102,9,138,195,1300
Steve Nash,36,PHO,75,75,2497,33.3,399,811,0.492,81,205,0.395,227,249,0.912,40,220,260,855,48,4,265,87,1106
Jason Kidd,37,DAL,80,80,2653,33.2,215,596,0.361,133,391,0.34,67,77,0.87,35,316,351,655,134,29,179,119,630
Channing Frye,27,PHO,77,64,2541,33,358,829,0.432,171,439,0.39,89,107,0.832,65,448,513,96,46,79,73,272,976
Antawn Jamison,34,CLE,56,38,1842,32.9,374,876,0.427,91,263,0.346,171,234,0.731,86,289,375,93,50,30,77,137,1010
Joakim Noah,25,CHI,48,48,1576,32.8,211,402,0.525,0,1,0,139,188,0.739,182,316,498,107,48,72,90,156,561
Tayshaun Prince,30,DET,78,78,2562,32.8,473,1001,0.473,34,98,0.347,118,168,0.702,78,251,329,215,30,41,82,90,1098
Andre Miller,34,POR,81,81,2650,32.7,388,844,0.46,4,37,0.108,249,292,0.853,97,205,302,566,114,12,197,171,1029
Luis Scola,30,HOU,74,74,2412,32.6,569,1129,0.504,0,3,0,214,290,0.738,147,459,606,185,48,44,147,227,1352
Kevin Martin,27,HOU,80,80,2603,32.5,553,1267,0.436,176,459,0.383,594,669,0.888,28,230,258,198,80,15,184,155,1876
Carlos Delfino,28,MIL,49,40,1590,32.4,200,513,0.39,105,284,0.37,60,75,0.8,24,176,200,112,76,8,57,72,565
Jeff Green,24,OKC,75,51,2427,32.4,368,820,0.449,64,211,0.303,198,244,0.811,73,287,360,108,53,37,99,210,998
Tony Parker,28,SAS,78,78,2528,32.4,555,1069,0.519,25,70,0.357,233,303,0.769,30,208,238,513,90,3,200,135,1368
Michael Beasley,22,MIN,73,73,2361,32.3,561,1246,0.45,60,164,0.366,219,291,0.753,118,291,409,158,54,52,195,222,1401
Lamar Odom,31,LAL,82,35,2639,32.2,473,893,0.53,68,178,0.382,166,246,0.675,175,535,710,249,47,61,139,200,1180
Anderson Varejao,28,CLE,31,31,994,32.1,114,216,0.528,0,2,0,54,81,0.667,98,203,301,45,27,38,40,87,282
Chauncey Billups,34,DEN,72,72,2310,32.1,339,794,0.427,146,363,0.402,384,419,0.916,25,165,190,387,71,14,177,146,1208
Anthony Morrow,25,NJN,58,47,1856,32,279,620,0.45,110,260,0.423,96,107,0.897,37,135,172,68,19,7,54,135,764
Rashard Lewis,31,WAS,57,52,1824,32,252,582,0.433,87,244,0.357,77,96,0.802,71,219,290,92,52,30,87,159,668
Carlos Boozer,29,CHI,59,59,1882,31.9,431,845,0.51,0,0,,171,244,0.701,130,435,565,145,45,18,149,186,1033
Marc Gasol,26,MEM,81,81,2586,31.9,364,691,0.527,3,7,0.429,220,294,0.748,154,415,569,200,74,136,146,265,951
Emeka Okafor,28,NOH,72,72,2287,31.8,300,524,0.573,0,1,0,145,258,0.562,230,454,684,42,40,127,119,230,745
Nick Young,25,WAS,64,40,2034,31.8,412,935,0.441,105,271,0.387,186,228,0.816,26,148,174,75,45,17,90,144,1115
Devin Harris,27,NJN,71,70,2254,31.7,343,813,0.422,58,180,0.322,335,402,0.833,17,152,169,503,70,7,207,163,1079
Nicolas Batum,22,POR,80,67,2522,31.5,367,807,0.455,118,342,0.345,138,164,0.841,109,252,361,123,68,49,83,194,990
Hedo Turkoglu,31,ORL,81,72,2540,31.4,322,722,0.446,127,310,0.41,106,156,0.679,45,311,356,343,72,34,132,247,877
Jason Terry,33,DAL,82,10,2564,31.3,492,1091,0.451,127,351,0.362,182,214,0.85,24,129,153,334,93,13,167,140,1293
Kevin Garnett,34,BOS,71,71,2220,31.3,434,822,0.528,1,5,0.2,187,217,0.862,83,548,631,171,95,57,115,148,1056
Andrei Kirilenko,29,UTA,64,62,1999,31.2,253,542,0.467,36,98,0.367,208,270,0.77,100,227,327,192,81,74,117,113,750
Rodney Stuckey,24,DET,70,54,2183,31.2,363,827,0.439,26,90,0.289,330,381,0.866,70,146,216,361,76,10,155,177,1082
Landry Fields,22,NYK,82,81,2541,31,299,602,0.497,86,219,0.393,113,147,0.769,105,416,521,155,80,17,107,114,797
Jose Calderon,29,TOR,68,55,2102,30.9,262,596,0.44,57,156,0.365,88,103,0.854,30,172,202,605,81,7,148,143,669
Mo Williams,28,CLE,58,56,1788,30.8,291,730,0.399,79,244,0.324,151,177,0.853,21,132,153,380,53,10,171,150,812
Raja Bell,34,UTA,68,63,2097,30.8,191,467,0.409,68,193,0.352,91,102,0.892,31,145,176,118,56,14,63,169,541
Wilson Chandler,23,DEN,21,19,642,30.6,101,241,0.419,26,75,0.347,34,42,0.81,13,92,105,34,14,24,37,47,262
Jameer Nelson,28,ORL,76,76,2319,30.5,374,838,0.446,119,297,0.401,130,162,0.802,37,189,226,456,75,3,194,209,997
Nene Hilario,28,DEN,75,75,2291,30.5,402,654,0.615,1,5,0.2,286,402,0.711,145,426,571,149,84,73,134,238,1091
Luke Ridnour,29,MIN,71,66,2159,30.4,319,681,0.468,81,184,0.44,121,137,0.883,37,162,199,384,89,10,158,146,840
Richard Jefferson,30,SAS,81,81,2459,30.4,304,642,0.474,135,307,0.44,148,195,0.759,54,256,310,107,38,34,93,164,891
Manu Ginobili,33,SAS,80,79,2426,30.3,441,1018,0.433,154,441,0.349,357,410,0.871,42,253,295,393,123,28,174,163,1393
Jamal Crawford,30,ATL,76,0,2297,30.2,368,874,0.421,119,349,0.341,222,260,0.854,22,108,130,241,57,14,145,97,1077
Grant Hill,38,PHO,80,80,2409,30.1,399,825,0.484,45,114,0.395,213,257,0.829,77,261,338,200,64,35,134,184,1056
Kirk Hinrich,30,WAS,72,51,2157,30,278,623,0.446,75,188,0.399,106,126,0.841,21,161,182,288,75,17,121,185,737
Caron Butler,30,DAL,29,29,867,29.9,170,378,0.45,28,65,0.431,68,88,0.773,22,96,118,46,28,8,49,59,436
Darren Collison,23,IND,79,79,2360,29.9,398,870,0.457,41,124,0.331,202,232,0.871,40,185,225,403,87,14,194,109,1039
Glen Davis,25,BOS,78,13,2298,29.5,359,801,0.448,2,15,0.133,195,265,0.736,101,324,425,92,78,30,85,231,915
Metta World Peace,31,LAL,82,82,2410,29.4,261,658,0.397,83,233,0.356,92,136,0.676,100,167,267,175,124,36,90,181,697
