Height	Weight	GPA	LArm	RArm	LFoot	RFoot	Sex
67	125	2.4	25.5	25.5	27.2	27	0
68	140	2.81	23	23	23	23	1
67	142	2.8	26	27	22	22	1
60	110	3.6	24	24	24	24.5	1
64	97	2.5	24	24	21	21	1
61	106	3.85	21.5	21.5	22	22	1
79	210	3.33	30.5	30.5	28	28	0
61	110	1.94	23.5	22.5	21.5	21	1
71	150	3.46	26	26	29	28	0
66	145	2.56	24	25	24	25	1
59.5	113	3.33	21	23	20	22	1
71	175	2.8	27	27	27.5	26	0
72	145	2.85	25.5	25	28	28	0
55	110	?	24	23	22	23.5	1
64	112	3.59	23	23.5	23	23.5	1
65	135	3.33	22	23	21	20	1
65	135	3.25	23	23	26	27	1
71	140	3.63	27	27	25	25	1
68	130	3.7	25	25	24	25	1
71	152	2.8	25.4	27.9	27.9	27.9	0
67	127	3.13	25.5	25.5	24.5	24.5	1
70	143	3.53	26.5	27	26.3	26.3	0
68	165	2.13	24.5	24.5	24.5	25.5	1
72	160	2.5	25	26	28.5	29	0
71	185	3	28	27	29	27	0
65	114	2.5	25.4	25	24.7	24.5	1
67	116	3.33	23	24.5	22.5	23	1
66	113	3.3	25.5	26	25.3	25.5	1
63	145	2.4	21	22	24	25	1
62	116	3.3	25	25	27	25	1
70.5	155	2.53	25.5	28	26	25.5	0
64	107	3.24	24.5	24	23.5	24.5	1
64	104	3.4	24.5	24.1	22.5	22.8	1
69	137	2.6	23.5	23.5	24	24.5	1
75	200	3.1	31	28	28	29	0
65	150	2.89	25	25	23.5	23	0
67	140	3.1	25.5	25	25	25.5	1
65	125	?	23.5	23	24	23.5	1
75	240	2.7	27	27.5	31	32	0
57	140	3.16	22	24	25.5	24.3	1
68	135	3	23.5	25.5	25	25	0
73	178	2.3	26	25	29	29.5	0
68	122	1.89	24.5	24.6	24.3	24.5	1
62	145	2	23.4	23.5	23.8	24	1
68	190	2.9	25	25	25	25.5	0
73.5	180	3.33	26.2	26.5	26.2	26.5	0
63	125	2	27.5	27.5	22.5	22.5	1
72.5	165	2.5	24.8	24.5	28	27.5	0
66	115	2	27	27.5	22.5	23.5	1
68	125	3.91	25.5	25	25.5	25	1
72	210	2.8	26.5	26.5	28.5	28.5	0
63	118	3.63	23	23	24	23	1
65	135	3	22.5	23	22.9	23.2	1
75	225	1.24	24.5	24.5	30	30	0
69	145	3.31	25.5	26.5	25.5	25.5	1
72	240	3.78	28	28	26.2	25.7	1
69	170	3.1	27	26.5	28	28.5	1
62	105	2.8	23	22	24	23	1
64	125	3.4	24	23.5	23.5	23.5	1
62.5	130	3.1	22.5	22	23.5	24.5	1
78	190	3	30	29.5	31.5	32	0
63	115	2.8	22	22.5	21	22	1
73	280	2.1	26.5	26.5	26	26	0
69	125	3.72	24.5	24.5	24.5	24.5	1
62.5	120	2.17	24	24	23	23.5	1
63	145	2.65	22.5	21	22.8	22.5	1
63	132	3.48	22.5	22	24.5	23	1
69.5	195	3.1	27	27	27	27	0
69	168	2.5	25	25	23	23	0
70	?	1.5	29	29	29	29	1
60.5	105	2.17	20.5	21	23	22.5	1
65	112	3.31	21.5	22	22	23.5	1
72	215	2.84	26.5	26.5	27.5	27.2	0
69	150	2.98	29	29	28.5	28.7	1
70	150	2.56	26.7	25.4	26.7	25.4	1
67	125	3.23	23	25	25	23	1
64	135	3.67	23.5	24	22	22.6	1
70	185	2.3	25	26	25.5	26	0
71	127	2.8	25.5	28	25.5	28	1
72	178	2.7	25.5	28	29.5	29.7	0
66	123	2.49	25.5	25.5	24	25.5	1
65.5	145	3.55	26	25	27	27	0
71	135	3	25.5	28	25.5	28	1
68	135	2.4	27	27	27	27	0
66.5	145	3.61	27	27	27	27	0
67	145	3.2	26.1	27.7	24.9	25.4	1
69	193	2.95	28	28	27.2	27.8	0
66	125	3.23	24	24.5	24	24.5	1
71	148	2.5	28	28.5	28	27	0
65	125	2.8	25	25	22	23	1
62	120	3.55	26	26	23	23	1
65	119	2.9	24	26	23	23	1
68	160	3.35	26.5	26.5	23.5	22.5	1
67	140	3.74	23.3	24	24.5	23.5	1
62.5	115	2.5	24	24	24	24	1
64	125	3.76	23.4	23.4	23.4	23.5	1
61	95	3.15	22.2	22.2	22	22.2	1
62	126	3.33	24.6	23.9	23.5	23.8	1
62.5	165	2.5	24.9	25.5	23.9	23.7	1
70	167	2.6	27	27	26	26	0
73	250	2.9	26	26	29	29.5	0
73.5	280	3.54	26	28.5	29	30	0
79	180	2.6	30.5	30.5	32	32	0
71	175	3.48	29	28	28	30.5	0
63	120	3	27	27	27	27	1
72.5	125	3	27	27	28	28	0
69.5	156	3.45	26	26	24	24	0
75	185	2.9	30	30	30	30	0
62	130	2.33	23.5	23.5	23.5	23	1
67	140	1.96	26	26.5	26.5	27	0
64.5	120	3.62	22.5	21.5	23.3	23	1
66	140	2.9	25.5	25.5	23	23	1
69	155	2.5	25	25.5	25.5	25.5	0
60	105	2.82	21.5	20.5	19.5	20.5	1
67	125	3	25.5	25.5	22	23	1
65	115	3.7	25.5	26.5	23	21	1
