Left      Right      Punt
   170               170                162.50                       
   130               140                144.0                        
   170               180                174.50                       
   160               160                163.50                       
   150               170                192.0                        
   150               150                171.75                       
   180               170                162.0                        
   110               110                104.83                       
   110               120                105.67                       
   120               130                117.58                       
   140               120                140.25                       
   130               140                150.17                       
   150               160                165.17                       
