Date,Open,High,Low,Close,Volume,Adj Close,Return
1/3/1950,16.66,16.66,16.66,16.66,1260000,16.66,NA
1/4/1950,16.85,16.85,16.85,16.85,1890000,16.85,0.011404562
1/5/1950,16.93,16.93,16.93,16.93,2550000,16.93,0.004747774
1/6/1950,16.98,16.98,16.98,16.98,2010000,16.98,0.002953337
1/9/1950,17.08,17.08,17.08,17.08,2520000,17.08,0.005889282
1/10/1950,17.03,17.03,17.03,17.03,2160000,17.03,-0.0029274
1/11/1950,17.09,17.09,17.09,17.09,2630000,17.09,0.003523194
1/12/1950,16.76,16.76,16.76,16.76,2970000,16.76,-0.019309538
1/13/1950,16.67,16.67,16.67,16.67,3330000,16.67,-0.005369928
1/16/1950,16.72,16.72,16.72,16.72,1460000,16.72,0.0029994
1/17/1950,16.86,16.86,16.86,16.86,1790000,16.86,0.008373206
1/18/1950,16.85,16.85,16.85,16.85,1570000,16.85,-0.00059312
1/19/1950,16.87,16.87,16.87,16.87,1170000,16.87,0.001186944
1/20/1950,16.9,16.9,16.9,16.9,1440000,16.9,0.001778305
1/23/1950,16.92,16.92,16.92,16.92,1340000,16.92,0.001183432
1/24/1950,16.86,16.86,16.86,16.86,1250000,16.86,-0.003546099
1/25/1950,16.74,16.74,16.74,16.74,1700000,16.74,-0.007117438
1/26/1950,16.73,16.73,16.73,16.73,1150000,16.73,-0.000597372
1/27/1950,16.82,16.82,16.82,16.82,1250000,16.82,0.005379558
1/30/1950,17.02,17.02,17.02,17.02,1640000,17.02,0.011890606
1/31/1950,17.05,17.05,17.05,17.05,1690000,17.05,0.001762632
2/1/1950,17.05,17.05,17.05,17.05,1810000,17.05,0
2/2/1950,17.23,17.23,17.23,17.23,2040000,17.23,0.010557185
2/3/1950,17.29,17.29,17.29,17.29,2210000,17.29,0.003482298
2/6/1950,17.32,17.32,17.32,17.32,1490000,17.32,0.001735107
2/7/1950,17.23,17.23,17.23,17.23,1360000,17.23,-0.005196305
2/8/1950,17.21,17.21,17.21,17.21,1470000,17.21,-0.001160766
2/9/1950,17.28,17.28,17.28,17.28,1810000,17.28,0.004067403
2/10/1950,17.24,17.24,17.24,17.24,1790000,17.24,-0.002314815
2/14/1950,17.06,17.06,17.06,17.06,2210000,17.06,-0.010440835
2/15/1950,17.06,17.06,17.06,17.06,1730000,17.06,0
2/16/1950,16.99,16.99,16.99,16.99,1920000,16.99,-0.004103165
2/17/1950,17.15,17.15,17.15,17.15,1940000,17.15,0.009417304
2/20/1950,17.2,17.2,17.2,17.2,1420000,17.2,0.002915452
2/21/1950,17.17,17.17,17.17,17.17,1260000,17.17,-0.001744186
2/23/1950,17.21,17.21,17.21,17.21,1310000,17.21,0.002329645
2/24/1950,17.28,17.28,17.28,17.28,1710000,17.28,0.004067403
2/27/1950,17.28,17.28,17.28,17.28,1410000,17.28,0
2/28/1950,17.22,17.22,17.22,17.22,1310000,17.22,-0.003472222
3/1/1950,17.24,17.24,17.24,17.24,1410000,17.24,0.00116144
3/2/1950,17.23,17.23,17.23,17.23,1340000,17.23,-0.000580046
3/3/1950,17.29,17.29,17.29,17.29,1520000,17.29,0.003482298
3/6/1950,17.32,17.32,17.32,17.32,1470000,17.32,0.001735107
3/7/1950,17.2,17.2,17.2,17.2,1590000,17.2,-0.006928406
