FIPS,county,census_2000_count,csc1000
1,Anderson,55109,55.109
3,Andrews,13004,13.004
5,Angelina,80130,80.13
7,Aransas,22497,22.497
9,Archer,8854,8.854
11,Armstrong,2148,2.148
13,Atascosa,38628,38.628
15,Austin,23590,23.59
17,Bailey,6594,6.594
19,Bandera,17645,17.645
21,Bastrop,57733,57.733
23,Baylor,4093,4.093
25,Bee,32359,32.359
27,Bell,237974,237.974
29,Bexar,1392931,1392.931
31,Blanco,8418,8.418
33,Borden,729,0.729
35,Bosque,17204,17.204
37,Bowie,89306,89.306
39,Brazoria,241767,241.767
41,Brazos,152415,152.415
43,Brewster,8866,8.866
45,Briscoe,1790,1.79
47,Brooks,7976,7.976
49,Brown,37674,37.674
51,Burleson,16470,16.47
53,Burnet,34147,34.147
55,Caldwell,32194,32.194
57,Calhoun,20647,20.647
59,Callahan,12905,12.905
61,Cameron,335227,335.227
63,Camp,11549,11.549
65,Carson,6516,6.516
67,Cass,30438,30.438
69,Castro,8285,8.285
71,Chambers,26031,26.031
73,Cherokee,46659,46.659
75,Childress,7688,7.688
77,Clay,11006,11.006
79,Cochran,3730,3.73
81,Coke,3864,3.864
83,Coleman,9235,9.235
85,Collin,491675,491.675
87,Collingsworth,3206,3.206
89,Colorado,20390,20.39
91,Comal,78021,78.021
93,Comanche,14026,14.026
95,Concho,3966,3.966
97,Cooke,36363,36.363
99,Coryell,74978,74.978
101,Cottle,1904,1.904
103,Crane,3996,3.996
105,Crockett,4099,4.099
107,Crosby,7072,7.072
109,Culberson,2975,2.975
111,Dallam,6222,6.222
113,Dallas,2218899,2218.899
115,Dawson,14985,14.985
117,Deaf Smith,18561,18.561
119,Delta,5327,5.327
121,Denton,432976,432.976
123,De Witt,20013,20.013
125,Dickens,2762,2.762
127,Dimmit,10248,10.248
129,Donley,3828,3.828
131,Duval,13120,13.12
133,Eastland,18297,18.297
135,Ector,121123,121.123
137,Edwards,2162,2.162
139,Ellis,111360,111.36
141,El Paso,679622,679.622
143,Erath,33001,33.001
145,Falls,18576,18.576
147,Fannin,31242,31.242
149,Fayette,21804,21.804
151,Fisher,4344,4.344
153,Floyd,7771,7.771
155,Foard,1622,1.622
157,Fort Bend,354452,354.452
159,Franklin,9458,9.458
161,Freestone,17867,17.867
163,Frio,16252,16.252
165,Gaines,14467,14.467
167,Galveston,250158,250.158
169,Garza,4872,4.872
171,Gillespie,20814,20.814
173,Glasscock,1406,1.406
175,Goliad,6928,6.928
177,Gonzales,18628,18.628
179,Gray,22744,22.744
181,Grayson,110595,110.595
183,Gregg,111379,111.379
185,Grimes,23552,23.552
187,Guadalupe,89023,89.023
189,Hale,36602,36.602
191,Hall,3782,3.782
193,Hamilton,8229,8.229
195,Hansford,5369,5.369
197,Hardeman,4724,4.724
199,Hardin,48073,48.073
201,Harris,3400578,3400.578
203,Harrison,62110,62.11
205,Hartley,5537,5.537
207,Haskell,6093,6.093
209,Hays,97589,97.589
211,Hemphill,3351,3.351
213,Henderson,73277,73.277
215,Hidalgo,569463,569.463
217,Hill,32321,32.321
219,Hockley,22716,22.716
221,Hood,41100,41.1
223,Hopkins,31960,31.96
225,Houston,23185,23.185
227,Howard,33627,33.627
229,Hudspeth,3344,3.344
231,Hunt,76596,76.596
233,Hutchinson,23857,23.857
235,Irion,1771,1.771
237,Jack,8763,8.763
239,Jackson,14391,14.391
241,Jasper,35604,35.604
243,Jeff Davis,2207,2.207
245,Jefferson,252051,252.051
247,Jim Hogg,5281,5.281
249,Jim Wells,39326,39.326
251,Johnson,126811,126.811
253,Jones,20785,20.785
255,Karnes,15446,15.446
257,Kaufman,71313,71.313
259,Kendall,23743,23.743
261,Kenedy,414,0.414
263,Kent,859,0.859
265,Kerr,43653,43.653
267,Kimble,4468,4.468
269,King,356,0.356
271,Kinney,3379,3.379
273,Kleberg,31549,31.549
275,Knox,4253,4.253
277,Lamar,48499,48.499
279,Lamb,14709,14.709
281,Lampasas,17762,17.762
283,La Salle,5866,5.866
285,Lavaca,19210,19.21
287,Lee,15657,15.657
289,Leon,15335,15.335
291,Liberty,70154,70.154
293,Limestone,22051,22.051
295,Lipscomb,3057,3.057
297,Live Oak,12309,12.309
299,Llano,17044,17.044
301,Loving,67,0.067
303,Lubbock,242628,242.628
305,Lynn,6550,6.55
307,McCulloch,8205,8.205
309,McLennan,213517,213.517
311,McMullen,851,0.851
313,Madison,12940,12.94
315,Marion,10941,10.941
317,Martin,4746,4.746
319,Mason,3738,3.738
321,Matagorda,37957,37.957
323,Maverick,47297,47.297
325,Medina,39304,39.304
327,Menard,2360,2.36
329,Midland,116009,116.009
331,Milam,24238,24.238
333,Mills,5151,5.151
335,Mitchell,9698,9.698
337,Montague,19117,19.117
339,Montgomery,293768,293.768
341,Moore,20121,20.121
343,Morris,13048,13.048
345,Motley,1426,1.426
347,Nacogdoches,59203,59.203
349,Navarro,45124,45.124
351,Newton,15072,15.072
353,Nolan,15802,15.802
355,Nueces,313645,313.645
357,Ochiltree,9006,9.006
359,Oldham,2185,2.185
361,Orange,84966,84.966
363,Palo Pinto,27026,27.026
365,Panola,22756,22.756
367,Parker,88495,88.495
369,Parmer,10016,10.016
371,Pecos,16809,16.809
373,Polk,41133,41.133
375,Potter,113546,113.546
377,Presidio,7304,7.304
379,Rains,9139,9.139
381,Randall,104312,104.312
383,Reagan,3326,3.326
385,Real,3047,3.047
387,Red River,14314,14.314
389,Reeves,13137,13.137
391,Refugio,7828,7.828
393,Roberts,887,0.887
395,Robertson,16000,16
397,Rockwall,43080,43.08
399,Runnels,11495,11.495
401,Rusk,47372,47.372
403,Sabine,10469,10.469
405,San Augustine,8946,8.946
407,San Jacinto,22246,22.246
409,San Patricio,67138,67.138
411,San Saba,6186,6.186
413,Schleicher,2935,2.935
415,Scurry,16361,16.361
417,Shackelford,3302,3.302
419,Shelby,25224,25.224
421,Sherman,3186,3.186
423,Smith,174706,174.706
425,Somervell,6809,6.809
427,Starr,53597,53.597
429,Stephens,9674,9.674
431,Sterling,1393,1.393
433,Stonewall,1693,1.693
435,Sutton,4077,4.077
437,Swisher,8378,8.378
439,Tarrant,1446219,1446.219
441,Taylor,126555,126.555
443,Terrell,1081,1.081
445,Terry,12761,12.761
447,Throckmorton,1850,1.85
449,Titus,28118,28.118
451,Tom Green,104010,104.01
453,Travis,812280,812.28
455,Trinity,13779,13.779
457,Tyler,20871,20.871
459,Upshur,35291,35.291
461,Upton,3404,3.404
463,Uvalde,25926,25.926
465,Val Verde,44856,44.856
467,Van Zandt,48140,48.14
469,Victoria,84088,84.088
471,Walker,61758,61.758
473,Waller,32663,32.663
475,Ward,10909,10.909
477,Washington,30373,30.373
479,Webb,193117,193.117
481,Wharton,41188,41.188
483,Wheeler,5284,5.284
485,Wichita,131664,131.664
487,Wilbarger,14676,14.676
489,Willacy,20082,20.082
491,Williamson,249967,249.967
493,Wilson,32408,32.408
495,Winkler,7173,7.173
497,Wise,48793,48.793
499,Wood,36752,36.752
501,Yoakum,7322,7.322
503,Young,17943,17.943
505,Zapata,12182,12.182
507,Zavala,11600,11.6
