Date,price,pctChange
2/4/1991,1.139,NA
2/11/1991,1.106,-2.897
2/18/1991,1.078,-2.532
2/25/1991,1.054,-2.226
3/4/1991,1.025,-2.751
3/11/1991,1.045,1.951
3/18/1991,1.043,-0.191
3/25/1991,1.047,0.384
4/1/1991,1.052,0.478
4/8/1991,1.066,1.331
4/15/1991,1.069,0.281
4/22/1991,1.090,1.964
4/29/1991,1.104,1.284
5/6/1991,1.113,0.815
5/13/1991,1.121,0.719
5/20/1991,1.129,0.714
5/27/1991,1.140,0.974
6/3/1991,1.138,-0.175
6/10/1991,1.135,-0.264
6/17/1991,1.126,-0.793
6/24/1991,1.114,-1.066
7/1/1991,1.104,-0.898
7/8/1991,1.098,-0.543
7/15/1991,1.094,-0.364
7/22/1991,1.091,-0.274
7/29/1991,1.091,0.000
8/5/1991,1.099,0.733
8/12/1991,1.112,1.183
8/19/1991,1.124,1.079
8/26/1991,1.124,0.000
9/2/1991,1.127,0.267
9/9/1991,1.120,-0.621
9/16/1991,1.110,-0.893
9/23/1991,1.097,-1.171
9/30/1991,1.092,-0.456
10/7/1991,1.089,-0.275
10/14/1991,1.084,-0.459
10/21/1991,1.088,0.369
10/28/1991,1.091,0.276
11/4/1991,1.091,0.000
11/11/1991,1.102,1.008
11/18/1991,1.104,0.181
11/25/1991,1.099,-0.453
12/2/1991,1.099,0.000
12/9/1991,1.091,-0.728
12/16/1991,1.075,-1.467
12/23/1991,1.063,-1.116
12/30/1991,1.053,-0.941
1/6/1992,1.042,-1.045
1/13/1992,1.026,-1.536
1/20/1992,1.014,-1.170
1/27/1992,1.006,-0.789
2/3/1992,0.995,-1.093
2/10/1992,1.004,0.905
2/17/1992,1.011,0.697
2/24/1992,1.014,0.297
3/2/1992,1.012,-0.197
3/9/1992,1.013,0.099
3/16/1992,1.010,-0.296
3/23/1992,1.015,0.495
3/30/1992,1.013,-0.197
4/6/1992,1.026,1.283
4/13/1992,1.051,2.437
4/20/1992,1.058,0.666
4/27/1992,1.072,1.323
5/4/1992,1.089,1.586
5/11/1992,1.102,1.194
5/18/1992,1.118,1.452
5/25/1992,1.120,0.179
6/1/1992,1.128,0.714
6/8/1992,1.143,1.330
6/15/1992,1.151,0.700
6/22/1992,1.153,0.174
6/29/1992,1.149,-0.347
7/6/1992,1.147,-0.174
7/13/1992,1.139,-0.697
7/20/1992,1.132,-0.615
7/27/1992,1.128,-0.353
8/3/1992,1.126,-0.177
8/10/1992,1.123,-0.266
8/17/1992,1.116,-0.623
8/24/1992,1.123,0.627
8/31/1992,1.121,-0.178
9/7/1992,1.121,0.000
9/14/1992,1.124,0.268
9/21/1992,1.123,-0.089
9/28/1992,1.118,-0.445
10/5/1992,1.115,-0.268
10/12/1992,1.115,0.000
10/19/1992,1.113,-0.179
10/26/1992,1.113,0.000
11/2/1992,1.120,0.629
11/9/1992,1.120,0.000
11/16/1992,1.112,-0.714
11/23/1992,1.106,-0.540
11/30/1992,1.098,-0.723
12/7/1992,1.089,-0.820
12/14/1992,1.078,-1.010
12/21/1992,1.074,-0.371
12/28/1992,1.069,-0.466
1/4/1993,1.065,-0.374
1/11/1993,1.066,0.094
1/18/1993,1.061,-0.469
1/25/1993,1.055,-0.566
2/1/1993,1.055,0.000
2/8/1993,1.062,0.664
2/15/1993,1.053,-0.847
2/22/1993,1.047,-0.570
3/1/1993,1.042,-0.478
3/8/1993,1.048,0.576
3/15/1993,1.058,0.954
3/22/1993,1.056,-0.189
3/29/1993,1.057,0.095
4/5/1993,1.068,1.041
