Year	Sales	SalesM	Log10[SalesM]
2005	12233136	12.2331	1.0875
2005	13947785	13.9478	1.1445
2005	10449723	10.4497	1.0191
2005	11981740	11.9817	1.0785
2005	10788815	10.7888	1.0330
2005	12760524	12.7605	1.1059
2005	9888417	9.8884	0.9951
2005	11445462	11.4455	1.0586
2005	10905341	10.9053	1.0376
2005	13141349	13.1413	1.1186
2005	12082713	12.0827	1.0822
2005	14431387	14.4314	1.1593
2005	10096589	10.0966	1.0042
2005	11726815	11.7268	1.0692
2005	10614026	10.6140	1.0259
2005	11252184	11.2522	1.0512
2005	10109910	10.1099	1.0047
2005	12362291	12.3623	1.0921
2005	11253878	11.2539	1.0513
2005	11339686	11.3397	1.0546
2005	10581612	10.5816	1.0246
2005	10925963	10.9260	1.0385
2005	9684876	9.6849	0.9861
2005	11844326	11.8443	1.0735
2005	10739292	10.7393	1.0310
2005	10939736	10.9397	1.0390
2005	9639616	9.6396	0.9841
2005	11338636	11.3386	1.0546
2005	10607067	10.6071	1.0256
2005	12481646	12.4816	1.0963
2005	11534775	11.5348	1.0620
2005	14073610	14.0736	1.1484
2005	13703921	13.7039	1.1368
2005	16495834	16.4958	1.2174
2005	16782647	16.7826	1.2249
2005	19960545	19.9605	1.3002
2005	21747095	21.7471	1.3374
2005	29487024	29.4870	1.4696
2005	32778247	32.7782	1.5156
2005	40387916	40.3879	1.6063
2005	50606867	50.6069	1.7042
2005	68244767	68.2448	1.8341
2005	11421109	11.4211	1.0577
2005	12711301	12.7113	1.1042
2005	11734970	11.7350	1.0695
2005	13679770	13.6798	1.1361
2005	12757562	12.7576	1.1058
2005	15197084	15.1971	1.1818
2005	14518940	14.5189	1.1619
2005	16869943	16.8699	1.2271
2005	10383472	10.3835	1.0163
2005	11841643	11.8416	1.0734
2005	10092153	10.0922	1.0040
2005	12084933	12.0849	1.0822
2005	11293239	11.2932	1.0528
2005	13179163	13.1792	1.1199
2005	12028493	12.0285	1.0802
2005	14155392	14.1554	1.1509
2005	13218975	13.2190	1.1212
2005	16274295	16.2743	1.2115
2005	16214682	16.2147	1.2099
2005	19410200	19.4102	1.2880
2005	20046296	20.0463	1.3020
2005	12118475	12.1185	1.0834
2005	10452591	10.4526	1.0192
2005	12228118	12.2281	1.0874
2005	11362334	11.3623	1.0555
2005	13194206	13.1942	1.1204
2005	11661808	11.6618	1.0668
