Class,Age,Gender,Survived
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,Yes
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Male,No
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
