Year	Tornadoes	Deaths	Killer Tornadoes
1982	1047	64	31
1983	812	34	26
1984	907	122	33
1985	684	94	20
1986	713	15	11
1987	656	59	14
1988	698	32	19
1989	856	50	13
1990	1133	53	17
1991	1127	39	15
1992	1297	39	16
1993	1173	33	16
1994	1085	68	23
1995	1234	29	14
1996	1173	25	13
1997	1148	67	22
1998	1417	130	33
1999	1300	95	29
2000	1071	40	14
2001	1216	40	23
2002	941	55	28
2003	1376	54	23
2004	1817    36	20
2005	1264	38	13
2006	1103	67	25
2007	1098	81	26
2008	1692	126	37
2009	1156	21	9
2010	1282	45	21
2011	1691	553	59
2012	939	70	22
2013	908	55	14
