Rank  	City  	State  	Population  	Density (per mi2)  
1	New York City	New York	8,274,527	26,403.8
2	Los Angeles	California	3,834,340	7,876.4
3	Chicago	Illinois	2,836,658	12,752.2
4	Houston	Texas	2,208,180	3,371.8
5	Phoenix	Arizona	1,552,259	2,781.7
6	Philadelphia	Pennsylvania	1,449,634	11,232.8
7	San Antonio	Texas	1,328,984	2,808.3
8	San Diego	California	1,266,731	3,772.4
9	Dallas	Texas	1,240,499	3,470.3
10	San Jose	California	939,899	5,116.9
11	Detroit	Michigan	916,952	6,853.5
12	Jacksonville	Florida	805,605	970.9
13	San Franciscog[›]	California	799,183	16,632.4
14	Indianapolisa[›]	Indiana	795,458	2,162.8
15	Columbus	Ohio	747,755	3,383.1
16	Austin	Texas	743,074	2,610.6
17	Fort Worth	Texas	681,818	1,828.0
18	Memphis	Tennessee	674,028	2,327.6
19	Charlotte	North Carolina	671,588	2,232.1
20	Baltimored[›]	Maryland	637,455	8,058.8
21	Bostonf[›]	Massachusetts	608,352	12,172.3
22	El Paso	Texas	606,913	2,262.8
23	Milwaukee	Wisconsin	602,191	6,212.0
24	Seattle	Washington	594,210	6,714.8
25	Nashvillea[›]	Tennessee	590,807	1,152.6
26	Denver	Colorado	588,349	3,615.6
27	Washington	District of Columbia	588,292	9,316.9
28	Las Vegas	Nevada	558,880	4,222.7
29	Louisvillea[›]	Kentucky	557,789	4,126.1
30	Portland	Oregon	550,396	3,939.8
31	Oklahoma City	Oklahoma	547,274	833.8
32	Tucson	Arizona	525,529	2,499.7
33	Atlanta	Georgia	519,145	3,162.3
34	Albuquerque	New Mexico	518,271	2,484.0
35	Kansas Cityi[›]	Missouri	475,830	1,408.4
36	Fresno	California	470,508	4,096.3
37	Long Beach	California	466,520	9,157.2
38	Sacramento	California	460,242	4,187.4
39	Mesa	Arizona	452,933	3,171.0
40	Cleveland	Ohio	438,042	6,165.0
41	Virginia Beachd[›]	Virginia	434,743	1,712.7
42	Omaha	Nebraska	424,482	3,370.8
43	Miami	Florida	409,719	10,153.2
44	Oakland	California	401,489	7,120.9
45	Tulsa	Oklahoma	384,037	2,152.5
46	Minneapolis	Minnesota	377,392	6,969.4
47	Colorado Springs	Colorado	376,427	1,943.4
48	Raleigh	North Carolina	375,806	2,409.2
49	Honolulub[›]	Hawaii	375,571	4,336.7
50	Arlington	Texas	371,038	3,475.7
51	Wichita	Kansas	361,420	2,535.2
52	St. Louis	Missouri	350,759	5,625.0
53	Santa Ana	California	339,555	12,471.5
54	Tampa	Florida	336,823	2,706.9
55	Anaheim	California	333,249	6,707.9
56	Cincinnati	Ohio	332,458	4,247.2
57	Bakersfield	California	315,837	2,184.4
58	Aurora	Colorado	311,794	1,939.6
59	Pittsburgh	Pennsylvania	311,218	6,017.3
60	Toledo	Ohio	295,029	3,891.1
61	Riverside	California	294,437	3,267.2
62	New Orleansh[›]	Louisiana	288,000	2,683.7
63	Stockton	California	287,245	4,456.5
64	Corpus Christi	Texas	285,507	1,794.7
65	Newark	New Jersey	280,135	11,493.5
66	Anchorage	Alaska	279,671	153.4
67	Lexington	Kentucky	279,044	915.7
68	St. Paul	Minnesota	277,251	5,438.5
69	Buffalo	New York	272,632	7,208.1
70	Plano	Texas	260,796	3,101.0
71	Glendale	Arizona	253,152	3,928.4
72	Fort Wayne	Indiana	251,247	2,604.1
73	Henderson	Nevada	249,386	2,604.1
74	Lincoln	Nebraska	248,744	3,023.9
75	Greensboro	North Carolina	247,183	2,138.4
76	St. Petersburg	Florida	246,407	4,165.0
77	Chandler	Arizona	246,399	3,049.8
78	Jersey City	New Jersey	242,389	16,111.1
79	Norfolkd[›]	Virginia	235,747	4,365.0
80	Scottsdale	Arizona	235,677	1,100.5
81	Birmingham	Alabama	229,800	1,619.9
82	Madison	Wisconsin	228,775	3,028.4
83	Orlando	Florida	227,907	1,988.8
84	Baton Rouge	Louisiana	227,071	2,966.4
85	Chesapeaked[›]	Virginia	219,154	584.6
86	Garland	Texas	218,792	3,778.8
87	Durham	North Carolina	217,847	1,977.1
88	Laredo	Texas	217,506	2,249.4
89	Chula Vista	California	217,478	3,549.2
