vintageYear	age	summerTemp	harvestRain	WinterRain	priceIndex
1952	31	17.1167	0.1600	0.6000	0.3684
1953	30	16.7333	0.0800	0.6900	0.6348
1954	29	15.3833	0.1800	0.4300	?
1955	28	17.1500	0.1300	0.5020	0.4458
1956	27	15.6500	0.1400	0.4400	?
1957	26	16.1333	0.1100	0.4200	0.2211
1958	25	16.4167	0.1870	0.5820	0.1797
1959	24	17.4833	0.1870	0.4850	0.6584
1960	23	16.4167	0.2900	0.7630	0.1388
1961	22	17.3333	0.0380	0.8300	1.0000
1962	21	16.3000	0.0520	0.6970	0.3310
1963	20	15.7167	0.1550	0.6080	0.1685
1964	19	17.2667	0.0960	0.4020	0.3059
1965	18	15.3667	0.2670	0.6020	0.1063
1966	17	16.5333	0.0860	0.8190	0.4726
1967	16	16.2333	0.1180	0.7140	0.1913
1968	15	16.2000	0.2920	0.6100	0.1054
1969	14	16.5500	0.2440	0.5750	0.1167
1970	13	16.6667	0.0890	0.6220	0.4044
1971	12	16.7667	0.1120	0.5510	0.2725
1972	11	14.9833	0.1580	0.5360	0.1014
1973	10	17.0667	0.1230	0.3760	0.1561
1974	9	16.3000	0.1840	0.5740	0.1109
1975	8	16.9500	0.1710	0.5720	0.3007
1976	7	17.6500	0.2470	0.4180	0.2534
1977	6	15.5833	0.0870	0.8210	0.1070
1978	5	15.8167	0.0510	0.7630	0.2704
1979	4	16.1667	0.1220	0.7170	0.2145
1980	3	16.0000	0.0740	0.5780	0.1359
1981	2	16.9667	0.1110	0.5350	?
1982	1	17.4000	0.1620	0.7120	?
1983	0	17.3833	0.1190	0.8450	?
1984	-1	16.5000	0.1190	0.5910	?
1985	-2	16.8000	0.0380	0.7440	?
1986	-3	16.2833	0.1710	0.5630	?
1987	-4	16.9833	0.1150	0.4520	?
1988	-5	17.1000	0.0590	0.8080	?
1989	-6	?	0.0820	0.4430	?
